sms_combine,batch_size,group_size,chunk_size,dispatch_kernel_us,combine_wp_kernel_us,combine_np_kernel_us,dispatch_noprob_kernel_us,fused_dispatch_kernel_us,fused_combine_kernel_us
32,1,1,64,101.4,593.7,511.4,94.0,586.8,1117.2
32,1,2,64,101.5,302.4,262.1,94.0,585.9,1108.4
32,1,4,64,102.7,597.2,514.7,94.2,586.0,1117.9
32,2,1,64,101.4,668.9,572.4,94.0,584.5,1125.0
32,2,2,64,101.6,341.4,294.5,94.0,586.2,1114.2
32,2,4,64,101.8,675.0,573.9,94.0,585.6,1122.5
32,4,1,64,101.6,564.8,486.2,93.9,587.1,1119.5
32,4,2,64,101.6,293.3,248.2,94.0,588.3,1111.0
32,4,4,64,101.7,577.0,484.8,94.0,586.3,1120.3
32,8,1,64,101.3,468.2,387.5,93.9,586.0,1119.5
32,8,2,64,101.6,240.7,203.0,94.0,587.6,1110.8
32,8,4,64,101.3,478.5,392.4,94.0,586.2,1116.5
32,16,1,64,101.3,479.0,398.2,94.0,585.1,1121.4
32,16,2,64,101.4,246.5,208.1,94.0,586.2,1112.8
32,16,4,64,101.6,489.8,403.2,93.9,585.2,1114.2
32,32,1,64,101.9,479.3,398.4,94.1,585.1,1122.9
32,32,2,64,101.4,248.1,208.4,94.0,585.5,1113.0
32,32,4,64,101.8,489.9,403.3,94.1,587.5,1117.4
64,1,1,64,102.4,299.9,258.8,94.1,587.1,1386.9
64,1,2,64,102.8,303.3,263.0,94.2,585.7,1387.2
64,1,4,64,101.5,596.3,514.0,94.0,586.3,1392.8
64,2,1,64,101.6,333.2,291.2,93.9,586.4,1389.8
64,2,2,64,101.9,341.3,294.5,94.2,585.9,1386.9
64,2,4,64,102.2,674.6,573.5,94.1,586.1,1389.6
64,4,1,64,101.5,285.9,245.8,94.1,587.0,1387.6
