kernel,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,tokens_per_sec
topk,128,8,8,pre-softmax,0,float32,backward,0.47929888233542445,0.45279007725417614,0.9446925372492381,267056.74625467334
topk,128,256,8,pre-softmax,0,float32,backward,0.45977087914943693,0.40012096099555494,0.870261643659919,278399.5372582021
topk,128,256,8,pre-softmax,4,float32,backward,0.3781056009978056,0.4830777578055859,1.2776265586406625,338529.76433624123
topk,128,256,32,pre-softmax,0,float32,backward,0.436222400739789,0.46248223960399626,1.0601982814721875,293428.3057975128
topk,128,256,32,pre-softmax,4,float32,backward,0.42575807772576807,0.4664732784032822,1.0956298959611024,300640.21494019695
topk,128,256,36,pre-softmax,0,float32,backward,0.49623231902718545,0.469238720536232,0.9456029011897659,257943.6991345735
topk,128,256,36,pre-softmax,4,float32,backward,0.498790720552206,0.4817686402797699,0.9658733020261661,256620.65216107573
topk,128,512,8,pre-softmax,0,float32,backward,0.468977919369936,0.4156486378610134,0.88628615696754,272933.9585368238
topk,128,512,8,pre-softmax,4,float32,backward,0.4931001580506563,0.4647318388521671,0.9424694583132238,259582.15163835036
topk,128,512,32,pre-softmax,0,float32,backward,0.47907744213938713,0.4699663996696472,0.9809821092200599,267180.1857929235
topk,128,512,32,pre-softmax,4,float32,backward,0.47888735830783846,0.5027183997631073,1.0497633546633522,267286.23710655357
topk,128,512,36,pre-softmax,0,float32,backward,0.49504223868250846,0.46340063750743865,0.9360830274618992,258563.79516353112
topk,128,512,36,pre-softmax,4,float32,backward,0.47258527964353564,0.4906985585391521,1.0383280641099932,270850.58615568513
topk,128,2304,8,pre-softmax,0,float32,backward,0.42122016042470933,0.46636576279997827,1.1071781614862626,303879.0922802453
topk,128,2304,8,pre-softmax,4,float32,backward,0.4701151991635561,0.511389120221138,1.0877953342734246,272273.6899971362
topk,128,2304,32,pre-softmax,0,float32,backward,0.4846284770965576,0.4725948791205883,0.9751694369095613,264119.8486041447
topk,128,2304,32,pre-softmax,4,float32,backward,0.44582367926836014,0.49840159982442855,1.1179343381723328,287109.0207905969
topk,128,2304,36,pre-softmax,0,float32,backward,0.507853119969368,0.48152544066309927,0.9481588706044443,252041.37764816833
topk,128,2304,36,pre-softmax,4,float32,backward,0.5151247993111611,0.504414080530405,0.9792075264186879,248483.4746282165
topk,8192,8,8,pre-softmax,0,float32,backward,0.41609664119780065,0.47150944113731386,1.1331729085339373,19687734.023562457
topk,8192,256,8,pre-softmax,0,float32,backward,0.43790175922214986,0.48285344064235686,1.1026524339615698,18707392.303131066
topk,8192,256,8,pre-softmax,4,float32,backward,0.39929023817181586,0.5038796807825565,1.2619383912053854,20516404.401739858
topk,8192,256,32,pre-softmax,0,float32,backward,0.4885587203502655,0.4587932801246643,0.9390749996146599,16767687.605958313
topk,8192,256,32,pre-softmax,4,float32,backward,0.5079296013712883,0.5008976002037525,0.9861555594543987,16128219.300240744
topk,8192,256,36,pre-softmax,0,float32,backward,0.47631199792027473,0.42307423919439313,0.8882292300879799,17198810.938562963
topk,8192,256,36,pre-softmax,4,float32,backward,0.4993552005290985,0.48069824144244194,0.9626378997016787,16405156.07191045
