kernel,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,tokens_per_sec
topk,128,8,8,pre-softmax,0,float32,forward,0.02938623905181885,0.0971951961517334,3.307507162803045,4355780.260763838
topk,128,256,8,pre-softmax,0,float32,forward,0.02898303985595703,0.09728320121765137,3.3565561687504033,4416375.943867445
topk,128,256,8,pre-softmax,4,float32,forward,0.08837920188903808,0.21052640914916992,2.3820809042096824,1448304.547496442
topk,128,256,32,pre-softmax,0,float32,forward,0.02923775911331177,0.09791487693786621,3.3489186554412163,4377900.4917556215
topk,128,256,32,pre-softmax,4,float32,forward,0.09140416145324708,0.20941984176635742,2.291141217607198,1400373.8775665218
topk,128,256,36,pre-softmax,0,float32,forward,0.02926367998123169,0.09165184020996094,3.1319314682480806,4374022.682112879
topk,128,256,36,pre-softmax,4,float32,forward,0.08886176109313965,0.20434335708618165,2.299564566045467,1440439.6044530107
topk,128,512,8,pre-softmax,0,float32,forward,0.02934432029724121,0.09732288360595703,3.3165833326562617,4362002.551206948
topk,128,512,8,pre-softmax,4,float32,forward,0.1006550407409668,0.21069568634033203,2.093245254180087,1271670.043126849
topk,128,512,32,pre-softmax,0,float32,forward,0.029556798934936523,0.09710399627685547,3.2853353467204216,4330644.880785867
topk,128,512,32,pre-softmax,4,float32,forward,0.10115839958190918,0.20959007263183593,2.0718998471513808,1265342.2803151098
topk,128,512,36,pre-softmax,0,float32,forward,0.02946592092514038,0.09111424446105958,3.0921906256566625,4344001.340572055
topk,128,512,36,pre-softmax,4,float32,forward,0.1016643238067627,0.20450815200805664,2.011601949930569,1259045.4075442879
topk,128,2304,8,pre-softmax,0,float32,forward,0.06688255786895753,0.09722847938537597,1.4537195119821071,1913802.4034725076
topk,128,2304,8,pre-softmax,4,float32,forward,0.17534975051879884,0.20998559951782225,1.1975243699893956,729969.6727328814
topk,128,2304,32,pre-softmax,0,float32,forward,0.06791232109069824,0.09803487777709961,1.4435506871598764,1884783.1725417466
topk,128,2304,32,pre-softmax,4,float32,forward,0.18045663833618164,0.21067712783813478,1.167466765315964,709311.6727661879
topk,128,2304,36,pre-softmax,0,float32,forward,0.06787456035614013,0.09186752319335938,1.3534897715922924,1885831.7361965904
topk,128,2304,36,pre-softmax,4,float32,forward,0.1824425506591797,0.20548063278198242,1.1262758169054548,701590.7173930953
topk,8192,8,8,pre-softmax,0,float32,forward,0.0349622392654419,0.09717951774597168,2.779556452553309,234309934.72140974
topk,8192,256,8,pre-softmax,0,float32,forward,0.06817215919494629,0.1468892765045166,2.1546812986290997,120166356.71717563
topk,8192,256,8,pre-softmax,4,float32,forward,0.38888160705566405,0.35271999359130857,0.9070112527611023,21065537.303304262
topk,8192,256,32,pre-softmax,0,float32,forward,0.07113952159881592,0.15525343894958496,2.1823795755209163,115153993.39059305
topk,8192,256,32,pre-softmax,4,float32,forward,0.389944953918457,0.36771713256835936,0.9429975407381581,21008093.367232192
topk,8192,256,36,pre-softmax,0,float32,forward,0.07029535770416259,0.18591360092163087,2.6447493404051894,116536856.30957256
topk,8192,256,36,pre-softmax,4,float32,forward,0.39140350341796876,0.40579326629638673,1.0367645224244495,20929807.54761409
topk,8192,512,8,pre-softmax,0,float32,forward,0.1083142375946045,0.2871654319763184,2.651225160731991,75631793.03039356
topk,8192,512,8,pre-softmax,4,float32,forward,0.46199966430664063,0.5801225662231445,1.2556774626530958,17731614.61555255
topk,8192,512,32,pre-softmax,0,float32,forward,0.1140601634979248,0.29251840591430667,2.564597462808553,71821745.19808613
topk,8192,512,32,pre-softmax,4,float32,forward,0.4682799911499023,0.5986918258666992,1.2784911531166627,17493807.45456117
topk,8192,512,36,pre-softmax,0,float32,forward,0.11423328399658203,0.32418174743652345,2.8378922157768245,71712899.3704244
topk,8192,512,36,pre-softmax,4,float32,forward,0.4710192108154297,0.6353196716308593,1.3488190227549153,17392071.940798312
topk,8192,2304,8,pre-softmax,0,float32,forward,0.3671228790283203,0.5887977600097656,1.6038165792558654,22314054.688397832
topk,8192,2304,8,pre-softmax,4,float32,forward,1.0110787200927733,1.5356381225585938,1.5188116335963322,8102237.577750948
topk,8192,2304,32,pre-softmax,0,float32,forward,0.3882255935668945,0.6002864074707032,1.5462308962051179,21101133.299158573
topk,8192,2304,32,pre-softmax,4,float32,forward,1.0540390777587891,1.6191078186035157,1.5360984737361316,7772007.86276227
topk,8192,2304,36,pre-softmax,0,float32,forward,0.367852783203125,0.6313375854492187,1.716277854286615,22269778.49308932
topk,8192,2304,36,pre-softmax,4,float32,forward,1.0609401702880858,1.6557452392578125,1.5606395964894177,7721453.31981874
