kernel,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,tokens_per_sec
topk,128,8,8,pre-softmax,0,float32,forward,0.01756767988204956,0.05864031791687012,3.337965987004811,7286107.263987023
topk,128,256,8,pre-softmax,0,float32,forward,0.01853760004043579,0.05891776084899902,3.1782841748922506,6904885.191221922
topk,128,256,8,pre-softmax,4,float32,forward,0.023089599609375,0.12606911659240722,5.45999578707375,5543621.464446207
topk,128,256,32,pre-softmax,0,float32,forward,0.17995935440063476,0.058974719047546385,0.32771132817165943,711271.7225859781
topk,128,256,32,pre-softmax,4,float32,forward,0.20074207305908204,0.12633440017700195,0.629336930977192,637634.1443994517
topk,128,256,36,pre-softmax,0,float32,forward,0.22351743698120116,0.05580031871795654,0.24964637869684236,572662.257266154
topk,128,256,36,pre-softmax,4,float32,forward,0.248090877532959,0.12463968276977538,0.5023952674487877,515939.97035620594
topk,128,512,8,pre-softmax,0,float32,forward,0.029275200366973876,0.05884607791900635,2.0100999201150525,4372301.415378191
topk,128,512,8,pre-softmax,4,float32,forward,0.037033920288085935,0.1265385627746582,3.416828728644386,3456290.8545541824
topk,128,512,32,pre-softmax,0,float32,forward,0.34646465301513674,0.058951039314270016,0.1701502268737772,369446.05715494964
topk,128,512,32,pre-softmax,4,float32,forward,0.38126655578613283,0.12616800308227538,0.3309180969784507,335723.12613698054
topk,128,512,36,pre-softmax,0,float32,forward,0.4342012786865234,0.055843839645385744,0.12861279408092863,294794.1571872041
topk,128,512,36,pre-softmax,4,float32,forward,0.4771023941040039,0.12378016471862793,0.259441508255448,268286.22447050054
topk,128,2304,8,pre-softmax,0,float32,forward,0.11275615692138671,0.060904321670532224,0.5401418719245155,1135192.9996092475
topk,128,2304,8,pre-softmax,4,float32,forward,0.12503999710083008,0.12854880332946778,1.0280614708092823,1023672.4485588641
topk,128,2304,32,pre-softmax,0,float32,forward,1.4972280883789062,0.0665776014328003,0.044467240462263746,85491.31624867488
topk,128,2304,32,pre-softmax,4,float32,forward,1.6236201477050782,0.13031744003295898,0.08026350265310359,78836.17370782375
