kernel,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,tokens_per_sec
topk,128,8,8,pre-softmax,0,float32,backward,0.13737535946071147,0.10481311991810799,0.7629688492140682,931753.7038846274
topk,128,256,8,pre-softmax,0,float32,backward,0.0969311998039484,0.10586592048406601,1.0921759010327825,1320524.2507973788
topk,128,256,8,pre-softmax,4,float32,backward,0.1307891194522381,0.18368671968579292,1.4044495479065604,978674.6828488541
topk,128,256,32,pre-softmax,0,float32,backward,0.1644735987484455,0.16039903968572616,0.975226668026209,778240.4043810696
topk,128,256,32,pre-softmax,4,float32,backward,0.15274175956845285,0.18470591992139818,1.2092692950719888,838015.7486835514
topk,128,256,36,pre-softmax,0,float32,backward,0.15174303978681564,0.1594771198928356,1.0509682692325502,843531.2761615141
topk,128,256,36,pre-softmax,4,float32,backward,0.15481632083654404,0.1890447996556759,1.2210908942557193,826786.2154865644
topk,128,512,8,pre-softmax,0,float32,backward,0.15401119947433473,0.1625046396255493,1.0551481981843145,831108.3897592177
topk,128,512,8,pre-softmax,4,float32,backward,0.1540873596072197,0.18841248020529747,1.2227640261055488,830697.6011937751
topk,128,512,32,pre-softmax,0,float32,backward,0.15386432006955147,0.16255743980407714,1.0564986068933726,831901.7686630662
topk,128,512,32,pre-softmax,4,float32,backward,0.15302271991968155,0.1882963199913502,1.2305121755134336,836477.0935138555
topk,128,512,36,pre-softmax,0,float32,backward,0.1528521601855755,0.16099872037768365,1.0532969909108092,837410.474569657
topk,128,512,36,pre-softmax,4,float32,backward,0.15374688014388085,0.18813440039753915,1.223663206833709,832537.2188379617
topk,128,2304,8,pre-softmax,0,float32,backward,0.15682047992944717,0.1650825597345829,1.0526849542155006,816219.922663077
topk,128,2304,8,pre-softmax,4,float32,backward,0.15654272064566613,0.19297375977039338,1.232722664934314,817668.1705291652
topk,128,2304,32,pre-softmax,0,float32,backward,0.15666367948055268,0.16536640033125877,1.055550341212217,817036.8551562659
topk,128,2304,32,pre-softmax,4,float32,backward,0.1567894397675991,0.19169248014688492,1.2226109132797516,816381.5126179913
topk,128,2304,36,pre-softmax,0,float32,backward,0.1562860806286335,0.1647808001935482,1.0543536540858034,819010.8772652198
topk,128,2304,36,pre-softmax,4,float32,backward,0.15670496001839637,0.1915465599298477,1.2223388456074467,816821.6244397972
topk,8192,8,8,pre-softmax,0,float32,backward,0.1529529596865177,0.15803839966654779,1.0332483921229956,53558950.52171454
topk,8192,256,8,pre-softmax,0,float32,backward,0.15470687970519065,0.16568383932113648,1.0709532739388417,52951749.88733967
topk,8192,256,8,pre-softmax,4,float32,backward,0.15857599988579751,0.1932521604001522,1.2186721858246368,51659772.00774186
topk,8192,256,32,pre-softmax,0,float32,backward,0.15511328011751174,0.16541248053312302,1.066397928067853,52813015.0674001
topk,8192,256,32,pre-softmax,4,float32,backward,0.15608735978603364,0.19266975909471512,1.2343713120577418,52483429.864081815
topk,8192,256,36,pre-softmax,0,float32,backward,0.15612479999661447,0.1636672005057335,1.048310073154826,52470843.83888813
topk,8192,256,36,pre-softmax,4,float32,backward,0.1564412796497345,0.1924198393523693,1.2299812414165194,52364695.67585708
topk,8192,512,8,pre-softmax,0,float32,backward,0.15602400049567222,0.16760384038090706,1.0742183244144932,52504742.69327064
topk,8192,512,8,pre-softmax,4,float32,backward,0.15706527993083,0.19592608004808426,1.2474181444452153,52156657.4331875
topk,8192,512,32,pre-softmax,0,float32,backward,0.15663072034716607,0.16595584020018578,1.0595357017598523,52301361.96681431
topk,8192,512,32,pre-softmax,4,float32,backward,0.15721311986446382,0.1947580797970295,1.2388156914953017,52107610.40212462
topk,8192,512,36,pre-softmax,0,float32,backward,0.1564463996887207,0.1644812799990177,1.0513586782839612,52362981.93054946
topk,8192,512,36,pre-softmax,4,float32,backward,0.1574211199581623,0.19559423953294755,1.2424904586178176,52038760.75952948
topk,8192,2304,8,pre-softmax,0,float32,backward,0.4396201604604721,0.23040479987859727,0.5240997128913832,18634268.254257128
topk,8192,2304,8,pre-softmax,4,float32,backward,0.4402975997328758,0.2912681609392166,0.6615256615432973,18605597.679773875
topk,8192,2304,32,pre-softmax,0,float32,backward,0.4389830404520035,0.23034464046359063,0.5247233246788164,18661313.1832269
topk,8192,2304,32,pre-softmax,4,float32,backward,0.44121439903974535,0.2912332808971405,0.6600720228781694,18566937.112272374
topk,8192,2304,36,pre-softmax,0,float32,backward,0.43959040075540545,0.22881663993000984,0.5205223761410722,18635529.77026482
topk,8192,2304,36,pre-softmax,4,float32,backward,0.4404793605208397,0.2918896007537842,0.6626635136970838,18597920.207460947
topk,32768,8,8,pre-softmax,0,float32,backward,0.15799808010458946,0.16137664020061493,1.021383551583595,207394925.16813293
topk,32768,256,8,pre-softmax,0,float32,backward,0.15533439993858336,0.16731327995657921,1.0771167238083263,210951341.19007716
topk,32768,256,8,pre-softmax,4,float32,backward,0.15874559938907623,0.19666496008634568,1.2388687361615065,206418320.42025644
topk,32768,256,32,pre-softmax,0,float32,backward,0.15577055990695954,0.16455103993415832,1.0563680327813116,210360674.1836972
topk,32768,256,32,pre-softmax,4,float32,backward,0.15791967913508415,0.1938591992855072,1.2275810104684957,207497888.67016584
topk,32768,256,36,pre-softmax,0,float32,backward,0.15509407907724382,0.16623744010925293,1.0718490421962479,211278213.81034192
topk,32768,256,36,pre-softmax,4,float32,backward,0.1580979198217392,0.19673631951212883,1.244395370501748,207263954.11746743
topk,32768,512,8,pre-softmax,0,float32,backward,0.20492863938212394,0.2062051197886467,1.006228901974714,159899563.56904584
topk,32768,512,8,pre-softmax,4,float32,backward,0.205994880348444,0.2551263992488384,1.2385084465074452,159071914.52803266
topk,32768,512,32,pre-softmax,0,float32,backward,0.2047068803012371,0.2047526404261589,1.0002235397503711,160072782.85800722
topk,32768,512,32,pre-softmax,4,float32,backward,0.20665471971035004,0.25433984130620957,1.2307477983696458,158564004.9543899
topk,32768,512,36,pre-softmax,0,float32,backward,0.2043948794901371,0.20567776009440422,1.0062764811303848,160317127.71738586
topk,32768,512,36,pre-softmax,4,float32,backward,0.2078102397918701,0.2563798376917839,1.2337209078270546,157682316.48651388
topk,32768,2304,8,pre-softmax,0,float32,backward,1.5237788772583007,0.5963695961236953,0.3913754187200239,21504432.49282907
topk,32768,2304,8,pre-softmax,4,float32,backward,1.5221433675289153,0.8029017639160156,0.5274810382805569,21527538.53482039
topk,32768,2304,32,pre-softmax,0,float32,backward,1.5234537637233734,0.613413758277893,0.4026467838306354,21509021.65873015
topk,32768,2304,32,pre-softmax,4,float32,backward,1.522382719516754,0.8146239995956421,0.5350980335971142,21524153.933119696
topk,32768,2304,36,pre-softmax,0,float32,backward,1.5226342368125916,0.6181612813472748,0.4059814671193152,21520598.45218963
topk,32768,2304,36,pre-softmax,4,float32,backward,1.522121924161911,0.8188150423765183,0.5379431367348332,21527841.810728956
topk,131072,8,8,pre-softmax,0,float32,backward,0.15656064033508302,0.16359360083937646,1.0449216386011257,837196371.4473174
topk,131072,256,8,pre-softmax,0,float32,backward,0.311876160800457,0.31540831953287124,1.0113255169082134,420269377.6388437
topk,131072,256,8,pre-softmax,4,float32,backward,0.3162703990936279,0.4162403190135956,1.316090029944196,414430184.9797766
topk,131072,256,32,pre-softmax,0,float32,backward,0.3120729610323906,0.33498976081609727,1.0734341088311337,420004346.3118095
topk,131072,256,32,pre-softmax,4,float32,backward,0.31305727928876875,0.4287532809376717,1.3695681567020301,418683763.87152207
topk,131072,256,36,pre-softmax,0,float32,backward,0.3122739201784134,0.34495648115873334,1.104659911918508,419734058.88366795
topk,131072,256,36,pre-softmax,4,float32,backward,0.3135878404974937,0.43362303972244265,1.3827801455391835,417975390.2194035
topk,131072,512,8,pre-softmax,0,float32,backward,0.5592435187101364,0.5218150407075882,0.9330730231994911,234373748.84971428
topk,131072,512,8,pre-softmax,4,float32,backward,0.5596300792694092,0.701272000670433,1.2530991929274706,234211856.8235521
topk,131072,512,32,pre-softmax,0,float32,backward,0.5587347179651261,0.5475942403078079,0.9800612396203139,234587176.67904246
topk,131072,512,32,pre-softmax,4,float32,backward,0.5593856006860733,0.7138579219579697,1.2761464025574483,234314218.74149647
topk,131072,512,36,pre-softmax,0,float32,backward,0.5591081607341767,0.5620451205968857,1.0052529368536716,234430489.84991845
topk,131072,512,36,pre-softmax,4,float32,backward,0.5688700819015503,0.7459673613309861,1.3113141032790059,230407617.08168644
topk,131072,2304,8,pre-softmax,0,float32,backward,5.8855177640914915,2.179298233985901,0.3702814809738842,22270258.158031866
topk,131072,2304,8,pre-softmax,4,float32,backward,5.888868808746338,2.9406371235847475,0.4993551765352997,22257585.328667477
topk,131072,2304,32,pre-softmax,0,float32,backward,5.890615992546081,2.277455997467041,0.38662442100264355,22250983.62647591
topk,131072,2304,32,pre-softmax,4,float32,backward,5.8893580770492555,3.019009268283844,0.5126211089199824,22255736.242424402
topk,131072,2304,36,pre-softmax,0,float32,backward,5.890657296180725,2.2985471987724306,0.3902021596575852,22250827.60882763
topk,131072,2304,36,pre-softmax,4,float32,backward,5.890483508110046,3.0382444739341734,0.5157886393792808,22251484.079284735
topk,128,8,8,softmax,0,float32,backward,0.1705795194208622,0.18138463973999022,1.0633435969090117,750383.1669509638
topk,128,256,8,softmax,0,float32,backward,0.17115263983607293,0.18021951988339424,1.0529754028684888,747870.4396414581
topk,128,256,8,softmax,4,float32,backward,0.17203584000468253,0.21197183951735496,1.2321376726592868,744031.011192296
topk,128,256,32,softmax,0,float32,backward,0.17230112001299858,0.18090463995933534,1.049933047131021,742885.4785757838
topk,128,256,32,softmax,4,float32,backward,0.17012031987309456,0.21183200016617776,1.2451892891113716,752408.64874628
topk,128,256,36,softmax,0,float32,backward,0.17373567968606948,0.1808048002421856,1.0406889394791536,736751.369846935
topk,128,256,36,softmax,4,float32,backward,0.17140127941966057,0.21319712042808533,1.2438478939593642,746785.5574555167
topk,128,512,8,softmax,0,float32,backward,0.17193439975380898,0.18189087972044946,1.0579085975866205,744469.9849668352
topk,128,512,8,softmax,4,float32,backward,0.17260511964559555,0.21245823934674263,1.2308918749511961,741577.0764089628
topk,128,512,32,softmax,0,float32,backward,0.17278656035661696,0.18234496042132378,1.0553191176731516,740798.3568618922
