kernel,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,tokens_per_sec
topk,128,8,8,pre-softmax,0,float32,backward,0.46142560116946696,0.39866688042879106,0.8639895129754046,277401.1664623473
topk,128,256,8,pre-softmax,0,float32,backward,0.48862975656986235,0.412896321490407,0.845008548781193,261957.03040794868
topk,128,256,8,pre-softmax,4,float32,backward,0.46163872092962266,0.48951232209801676,1.0603796863319086,277273.1016632241
topk,128,256,32,pre-softmax,0,float32,backward,0.4881449584662914,0.3396252793818712,0.695746772534421,262217.1913895511
topk,128,256,32,pre-softmax,4,float32,backward,0.4223180817812681,0.5062771219015122,1.1988052222772907,303089.0826651729
topk,128,256,36,pre-softmax,0,float32,backward,0.4839113606512547,0.4706534397602081,0.9726025839252795,264511.2522833434
topk,128,256,36,pre-softmax,4,float32,backward,0.4042540811002254,0.500865921676159,1.238987916492996,316632.54864770395
topk,128,512,8,pre-softmax,0,float32,backward,0.43456896029412745,0.4491135969758034,1.0334691107985066,294544.73672801274
topk,128,512,8,pre-softmax,4,float32,backward,0.47484544157981873,0.49651776149868965,1.0456407875513487,269561.39575467305
topk,128,512,32,pre-softmax,0,float32,backward,0.4779347158968449,0.4576735997200012,0.9576069377198857,267819.00486096286
topk,128,512,32,pre-softmax,4,float32,backward,0.41472704112529757,0.490472322255373,1.182638877186673,308636.7352673504
topk,128,512,36,pre-softmax,0,float32,backward,0.4832640026509762,0.45586144134402273,0.9432969119226036,264865.5792648483
topk,128,512,36,pre-softmax,4,float32,backward,0.4525609607994556,0.47874272271990775,1.0578524534555558,282834.82466955634
topk,128,2304,8,pre-softmax,0,float32,backward,0.417012158036232,0.4554854406416416,1.0922593786871482,306945.48715982225
topk,128,2304,8,pre-softmax,4,float32,backward,0.4284691206365824,0.4824732811748981,1.126039795955613,298737.9809537468
topk,128,2304,32,pre-softmax,0,float32,backward,0.45642528228461743,0.451257921308279,0.9886786267612666,280440.2055891852
topk,128,2304,32,pre-softmax,4,float32,backward,0.40442239835858346,0.47799423709511757,1.1819183087661262,316500.768798933
topk,128,2304,36,pre-softmax,0,float32,backward,0.4968294410407543,0.46238495901226995,0.9306714152117669,257633.68558003855
topk,128,2304,36,pre-softmax,4,float32,backward,0.48996800154447556,0.4533340810239315,0.9252320143252892,261241.54964511722
topk,8192,8,8,pre-softmax,0,float32,backward,0.46892255812883377,0.44369055919349193,0.9461915437891784,17469835.60076309
topk,8192,256,8,pre-softmax,0,float32,backward,0.4536963164806366,0.4208505580574274,0.9276040883955226,18056130.725384958
topk,8192,256,8,pre-softmax,4,float32,backward,0.47578047901391984,0.5071840035915375,1.0660042308644169,17218024.61710567
topk,8192,256,32,pre-softmax,0,float32,backward,0.35165023982524873,0.46065632000565526,1.3099843760509782,23295874.912728578
