kernel,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,tokens_per_sec
topk,128,8,8,pre-softmax,0,float32,forward,0.017492480278015136,0.05885663986206055,3.36468236217094,7317430.002243461
topk,128,256,8,pre-softmax,0,float32,forward,0.021670401096343994,0.05924799919128418,2.7340518030965235,5906674.24340359
topk,128,256,8,pre-softmax,4,float32,forward,0.08867775917053222,0.1281833553314209,1.445496103311736,1443428.4447112489
topk,128,256,32,pre-softmax,0,float32,forward,0.021984961032867432,0.05931392192840576,2.697931637892452,5822161.786352065
topk,128,256,32,pre-softmax,4,float32,forward,0.08827936172485351,0.1286134433746338,1.4568914054396127,1449942.517696793
topk,128,256,36,pre-softmax,0,float32,forward,0.022658560276031494,0.05577919960021973,2.4617274407864147,5649079.131272078
topk,128,256,36,pre-softmax,4,float32,forward,0.0896457576751709,0.12498687744140625,1.3942308111700388,1427842.2461864254
topk,128,512,8,pre-softmax,0,float32,forward,0.028833920955657958,0.05946688175201416,2.062393173771437,4439215.887317021
topk,128,512,8,pre-softmax,4,float32,forward,0.10052351951599121,0.12800127983093262,1.2733465804544404,1273333.8487978212
topk,128,512,32,pre-softmax,0,float32,forward,0.028852479457855226,0.05975264072418213,2.0709707396711856,4436360.493279941
topk,128,512,32,pre-softmax,4,float32,forward,0.1021894359588623,0.12707103729248048,1.2434850637949952,1252575.6581289682
topk,128,512,36,pre-softmax,0,float32,forward,0.028856000900268554,0.05614783763885498,1.945794146351459,4435819.10197434
topk,128,512,36,pre-softmax,4,float32,forward,0.10228608131408691,0.12428735733032227,1.2150955020818197,1251392.1577164943
topk,128,2304,8,pre-softmax,0,float32,forward,0.06770880222320556,0.062576642036438,0.9242024667657074,1890448.4468362238
topk,128,2304,8,pre-softmax,4,float32,forward,0.1762611198425293,0.12735679626464844,0.7225461654755643,726195.3181413717
topk,128,2304,32,pre-softmax,0,float32,forward,0.06779200077056885,0.06458847999572753,0.952744855758379,1888128.371268986
topk,128,2304,32,pre-softmax,4,float32,forward,0.18048063278198243,0.13043295860290527,0.7226978130139099,709217.3715648585
topk,128,2304,36,pre-softmax,0,float32,forward,0.06777215957641601,0.06483168125152589,0.9566122970956148,1888681.1457686326
topk,128,2304,36,pre-softmax,4,float32,forward,0.18265823364257813,0.13234527587890624,0.7245513834206716,700762.2785319809
topk,8192,8,8,pre-softmax,0,float32,forward,0.03503200054168701,0.06405856132507325,1.8285727430509005,233843339.61321366
topk,8192,256,8,pre-softmax,0,float32,forward,0.06856800079345703,0.1475164794921875,2.151389537176997,119472638.9161649
topk,8192,256,8,pre-softmax,4,float32,forward,0.39312641143798827,0.35293758392333985,0.8977712350395267,20838080.987830564
topk,8192,256,32,pre-softmax,0,float32,forward,0.07091296195983887,0.15400768280029298,2.171784657472273,115521898.586601
topk,8192,256,32,pre-softmax,4,float32,forward,0.3923910522460938,0.36988929748535154,0.942654770969064,20877132.526615996
topk,8192,256,36,pre-softmax,0,float32,forward,0.0700819206237793,0.18618431091308593,2.6566667873242085,116891773.61415514
topk,8192,256,36,pre-softmax,4,float32,forward,0.39394081115722657,0.4073503875732422,1.0340395715199553,20795002.111955527
topk,8192,512,8,pre-softmax,0,float32,forward,0.10823936462402343,0.2891769599914551,2.6716431771004046,75684110.19831327
