kernel,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,fused_gbps,ref_gbps
topk,128,8,8,pre-softmax,0,float32,forward,0.018303359746932982,0.05917344093322754,3.2329278204316005,0.7272981673340403,0.22496579191704466
topk,128,8,8,pre-softmax,0,float32,backward_raw,0.004976319968700409,0.040580158233642576,8.154652130264905,2.6750691442127055,0.3280420919838557
topk,128,256,8,pre-softmax,0,float32,forward,0.018624000549316407,0.06038496017456055,3.242319501369268,22.872851559040345,7.05447182160206
topk,128,256,8,pre-softmax,0,float32,backward_raw,0.004956800043582916,0.04061567783355713,8.193931059643665,85.93931493191455,10.488166706109904
topk,128,256,22,pre-softmax,0,float32,forward,0.022405118942260743,0.05956448078155518,2.658521069897295,19.012797972543005,7.151644644771432
topk,128,256,22,pre-softmax,0,float32,backward_raw,0.005190719962120056,0.040736641883850094,7.847975267618164,82.06645766072391,10.45702297245272
topk,128,256,36,pre-softmax,0,float32,forward,0.02264415979385376,0.0562502384185791,2.4840947480792352,18.81209123579951,7.5730167902595085
topk,128,256,36,pre-softmax,0,float32,backward_raw,0.004888319969177246,0.040588159561157224,8.30308977666792,87.14323176183113,10.495277553990542
topk,128,512,8,pre-softmax,0,float32,forward,0.030860800743103028,0.05961120128631592,1.9316155074050765,27.606801492032037,14.292079032394437
topk,128,512,8,pre-softmax,0,float32,backward_raw,0.006203200221061706,0.04067935943603516,6.557802099941359,137.34330178595812,20.943495959901913
topk,128,512,22,pre-softmax,0,float32,forward,0.028815360069274903,0.05978975772857666,2.0749266219417812,29.566453375969857,14.249397093522587
topk,128,512,22,pre-softmax,0,float32,backward_raw,0.006188480257987976,0.04073184013366699,6.581880919970793,137.66998753858758,20.916511436855117
topk,128,512,36,pre-softmax,0,float32,forward,0.028802878856658935,0.05606304168701172,1.9464388252999407,29.579265469952617,15.196606790554815
topk,128,512,36,pre-softmax,0,float32,backward_raw,0.006182399988174439,0.04064223766326904,6.573860918253208,137.80538328636547,20.962625312581576
topk,128,2304,8,pre-softmax,0,float32,forward,0.11488287925720214,0.06152256011962891,0.5355241835634267,33.3718655450538,62.3162624010635
