kernel,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,fused_gbps,ref_gbps
topk,128,8,8,pre-softmax,0,float32,forward,0.018218239545822145,0.0598367977142334,3.2844445569909815,0.730696287449615,0.22247179843371648
topk,128,8,8,pre-softmax,0,float32,backward_raw,0.005054720044136048,0.04103519916534424,8.118194243605824,2.633578098047819,0.3244044203699755
topk,128,256,8,pre-softmax,0,float32,forward,0.018154239654541014,0.060541119575500485,3.334819894831399,23.46471172057302,7.036275559271046
topk,128,256,8,pre-softmax,0,float32,backward_raw,0.005097919702529907,0.04136000156402588,8.11311357915278,83.56035890259317,10.299419339735048
topk,128,256,22,pre-softmax,0,float32,forward,0.022646400928497314,0.06072383880615234,2.6813902570160684,18.810229552368252,7.015103267101761
topk,128,256,22,pre-softmax,0,float32,backward_raw,0.005505920052528381,0.041456961631774904,7.529524808980362,77.3683591363415,10.275330927134378
topk,128,256,36,pre-softmax,0,float32,forward,0.022632958889007567,0.058024959564208986,2.5637372404007985,18.821401217977424,7.341392449030777
topk,128,256,36,pre-softmax,0,float32,backward_raw,0.005273280143737793,0.041680002212524415,7.903999233194711,80.78159862336747,10.220344946910682
topk,128,512,8,pre-softmax,0,float32,forward,0.030876479148864745,0.06184351921081543,2.002933006469077,27.592783357597458,13.776188853285772
topk,128,512,8,pre-softmax,0,float32,backward_raw,0.006197440028190612,0.04229119777679444,6.823978543466706,137.47095512414958,20.145279509380142
topk,128,512,22,pre-softmax,0,float32,forward,0.02884864091873169,0.0624508810043335,2.1647772309365036,29.53234443175482,13.642209466042303
topk,128,512,22,pre-softmax,0,float32,backward_raw,0.0061753600835800174,0.04200607776641846,6.802207028884126,137.96248129163214,20.2820173960898
topk,128,512,36,pre-softmax,0,float32,forward,0.02908447980880737,0.05883423805236816,2.022874001499314,29.292873917655793,14.480819811784869
topk,128,512,36,pre-softmax,0,float32,backward_raw,0.006188160181045533,0.0423583984375,6.845071426438618,137.67710839315313,20.11331946974063
topk,128,2304,8,pre-softmax,0,float32,forward,0.11478879928588867,0.06366176128387452,0.554599069594943,33.399216856093624,60.22227350739529
