kernel,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,fused_gbps,ref_gbps
topk,128,8,4,pre-softmax,0,float32,forward,0.017775039672851562,0.05842432022094726,3.2868742515484093,0.7489153467450135,0.227850319005118
topk,128,8,4,pre-softmax,0,float32,backward_raw,0.004709439873695373,0.03894112110137939,8.268737290582143,2.826663118549261,0.34184942866291684
topk,128,8,4,pre-softmax,4,float32,forward,0.01624799966812134,0.10907103538513184,6.712890054960414,0.8193008537609842,0.12204890100286554
topk,128,8,4,pre-softmax,4,float32,backward_raw,0.004783680140972138,0.038995840549468995,8.151849496681496,2.7827947537677007,0.34136974129619746
topk,128,8,8,pre-softmax,0,float32,forward,0.015715199708938598,0.05612959861755371,3.571675807952217,0.8470780038785195,0.23716542301866503
topk,128,8,8,pre-softmax,0,float32,backward_raw,0.0048022401332855225,0.038486080169677736,8.014193189324525,2.7720396378621746,0.34589129215835823
topk,128,256,4,pre-softmax,0,float32,forward,0.015595840215682983,0.05621471881866455,3.6044687584151913,27.313950009030982,7.577801845351644
topk,128,256,4,pre-softmax,0,float32,backward_raw,0.004781120121479034,0.03840960025787354,8.033598671850891,89.09711305647397,11.09056061870048
topk,128,256,4,pre-softmax,4,float32,forward,0.015792319774627684,0.11313344001770019,7.163826570904615,26.974124516171212,3.76532349704343
topk,128,256,4,pre-softmax,4,float32,backward_raw,0.004875519871711731,0.03871040105819702,7.939748391304641,87.3720159508739,11.004380950731504
topk,128,256,8,pre-softmax,0,float32,forward,0.01709344029426575,0.0564192008972168,3.300634625093198,24.92090490074738,7.550337353697154
topk,128,256,8,pre-softmax,0,float32,backward_raw,0.004782400131225586,0.0384499192237854,8.03987917546578,89.07326620761718,11.078930947050813
topk,128,256,8,pre-softmax,4,float32,forward,0.022102720737457275,0.11995967864990234,5.427371592611573,19.27292142265947,3.551059862732858
topk,128,256,8,pre-softmax,4,float32,backward_raw,0.004826880097389221,0.03872416019439697,8.022606614020146,88.25245114963754,11.000470968551463
topk,128,256,22,pre-softmax,0,float32,forward,0.02004703998565674,0.05653728008270264,2.8202308232613866,21.24922184545864,7.534568330433854
topk,128,256,22,pre-softmax,0,float32,backward_raw,0.004723199903964997,0.03898943901062012,8.25487800715137,90.18970373081142,10.925625266984955
topk,128,256,36,pre-softmax,0,float32,forward,0.019954880475997926,0.05356959819793701,2.6845361595811834,21.34735913414169,7.95197302817188
topk,128,256,36,pre-softmax,0,float32,backward_raw,0.004889279901981354,0.03876960039138794,7.929511332676365,87.12612256610065,10.987577785161431
topk,128,256,36,pre-softmax,4,float32,forward,0.06651519775390625,0.11729663848876953,1.7634562092522836,6.404310809930399,3.6316812270863625
topk,128,256,36,pre-softmax,4,float32,backward_raw,0.004833920001983643,0.03844288110733032,7.952734238786522,88.12392423234013,11.080959275936605
topk,128,512,4,pre-softmax,0,float32,forward,0.015646719932556154,0.05619423866271973,3.5914389025265474,54.4502620148079,15.161127195148051
topk,128,512,4,pre-softmax,0,float32,backward_raw,0.004848639965057373,0.03882783889770508,8.007985574826165,175.71277845743677,21.942194677498666
topk,128,512,4,pre-softmax,4,float32,forward,0.02909696102142334,0.11393664360046386,3.9157575087162972,29.280308667723688,7.477559221312111
topk,128,512,4,pre-softmax,4,float32,backward_raw,0.004861440062522888,0.0389683198928833,8.01579766318467,175.25012939434728,21.86309295196463
topk,128,512,8,pre-softmax,0,float32,forward,0.029069759845733643,0.05626431941986084,1.9354930938006474,29.307706858301998,15.142243055360984
topk,128,512,8,pre-softmax,0,float32,backward_raw,0.0049055999517440795,0.03860960006713867,7.870515420527079,173.67253921655416,22.066221833909264
topk,128,512,8,pre-softmax,4,float32,forward,0.03558720111846924,0.11995039939880371,3.3706050385780744,23.940292386687332,7.102669138828201
topk,128,512,8,pre-softmax,4,float32,backward_raw,0.004802879989147186,0.03877376079559326,8.073023036846283,177.38690159344952,21.97279764765115
topk,128,512,22,pre-softmax,0,float32,forward,0.026951999664306642,0.05636223793029785,2.0912080228666703,31.610567327525136,15.115936330519972
topk,128,512,22,pre-softmax,0,float32,backward_raw,0.004901759922504425,0.03869600057601929,7.894307593148827,173.80859394776508,22.01695232886631
topk,128,512,36,pre-softmax,0,float32,forward,0.027187199592590333,0.053532161712646485,1.969020808131937,31.33710028127345,15.915068115000675
topk,128,512,36,pre-softmax,0,float32,backward_raw,0.004808000028133392,0.03865632057189941,8.04000007190244,177.19800229093573,22.039552326646533
topk,128,512,36,pre-softmax,4,float32,forward,0.07852767944335938,0.11757280349731446,1.497214795225391,10.849270041329941,7.246301650189537
topk,128,512,36,pre-softmax,4,float32,backward_raw,0.004826880097389221,0.03871135950088501,8.019954653902287,176.50490229927507,22.00821699327099
topk,128,2304,4,pre-softmax,0,float32,forward,0.03807615995407104,0.056358718872070314,1.4801576351200438,100.68914524533322,68.02596078705302
topk,128,2304,4,pre-softmax,0,float32,backward_raw,0.014644160270690917,0.03872159957885742,2.6441666072417633,261.8010134506072,99.01078575517688
topk,128,2304,4,pre-softmax,4,float32,forward,0.04306015968322754,0.11372768402099609,2.641134748631562,89.03487651239098,33.71084211380058
topk,128,2304,4,pre-softmax,4,float32,backward_raw,0.014641280174255372,0.03859103918075561,2.6357694628788346,261.85251251057235,99.34575697852283
topk,128,2304,8,pre-softmax,0,float32,forward,0.11302495956420898,0.05645120143890381,0.4994578335313107,33.920436820169826,67.91451558651622
topk,128,2304,8,pre-softmax,0,float32,backward_raw,0.014639999866485596,0.038717761039733886,2.6446558328438208,261.87541222432645,99.02060183866331
topk,128,2304,8,pre-softmax,4,float32,forward,0.12375295639038086,0.1200774383544922,0.9702995536987885,30.979914434577495,31.928196108595383
topk,128,2304,8,pre-softmax,4,float32,backward_raw,0.014630080461502075,0.0384879994392395,2.6307442081755936,262.05296752047917,99.61172458580128
topk,128,2304,22,pre-softmax,0,float32,forward,0.06300896167755127,0.05654496192932129,0.8974114225003496,60.846201840617226,67.8019025778486
topk,128,2304,22,pre-softmax,0,float32,backward_raw,0.014642239809036254,0.03866624116897583,2.640732679785336,261.8353510119394,99.15253937525546
topk,128,2304,36,pre-softmax,0,float32,forward,0.06324639797210693,0.0531712007522583,0.8406992723239034,60.61777623590225,72.10399512817412
topk,128,2304,36,pre-softmax,0,float32,backward_raw,0.014642879962921143,0.03857824087142944,2.6346074658207725,261.8239041573878,99.37871487653305
topk,128,2304,36,pre-softmax,4,float32,forward,0.15294495582580567,0.11726719856262208,0.7667281207768746,25.06690056759055,32.6933366447965
topk,128,2304,36,pre-softmax,4,float32,backward_raw,0.014646400213241578,0.03870752096176147,2.6428009885163877,261.7609749960179,99.04679774732678
topk,8192,8,4,pre-softmax,0,float32,forward,0.015738240480422973,0.05604415893554687,3.561018082374648,54.13362447090419,15.201726927150407
topk,8192,8,4,pre-softmax,0,float32,backward_raw,0.004869759976863861,0.03850784063339233,7.9075438658871,174.9507170882516,22.12453323755605
topk,8192,8,4,pre-softmax,4,float32,forward,0.019147839546203613,0.1469852828979492,7.676337716496667,44.49421032300833,5.7962809827125
topk,8192,8,4,pre-softmax,4,float32,backward_raw,0.004944640100002289,0.038612160682678226,7.808892032942975,172.30131673275991,22.064758483774796
topk,8192,8,8,pre-softmax,0,float32,forward,0.015807679891586303,0.05577280044555664,3.528209125441737,53.89582822039957,15.275689820016478
topk,8192,8,8,pre-softmax,0,float32,backward_raw,0.004864319860935211,0.038624958992004396,7.940464462914326,175.1463769564284,22.057447366516623
topk,8192,256,4,pre-softmax,0,float32,forward,0.018775999546051025,0.12087648391723632,6.437818855969194,1452.0119652289807,225.54408530501976
topk,8192,256,4,pre-softmax,0,float32,backward_raw,0.007613120079040528,0.0386844801902771,5.0812912168268936,3581.051621011069,704.7522899597403
topk,8192,256,4,pre-softmax,4,float32,forward,0.028378241062164307,0.26039775848388674,9.175965413552913,960.699993360362,104.69742965044385
topk,8192,256,4,pre-softmax,4,float32,backward_raw,0.007625280022621155,0.038534400463104246,5.053506277643326,3575.340960479046,707.4970850034019
topk,8192,256,8,pre-softmax,0,float32,forward,0.040536317825317386,0.12476544380187989,3.077868205482549,672.5567950568174,218.51383820100048
topk,8192,256,8,pre-softmax,0,float32,backward_raw,0.007616639733314514,0.03882816076278686,5.097807185622275,3579.3968146811694,702.1444092229318
topk,8192,256,8,pre-softmax,4,float32,forward,0.05436192035675049,0.31201919555664065,5.7396647047972635,501.5086998598748,87.37595759569531
topk,8192,256,8,pre-softmax,4,float32,backward_raw,0.007614079713821411,0.0387228798866272,5.085694048662996,3580.6002858771035,704.0534195757266
topk,8192,256,22,pre-softmax,0,float32,forward,0.0706499195098877,0.13418080329895019,1.8992350483877216,385.8882811067386,203.18089719033082
topk,8192,256,22,pre-softmax,0,float32,backward_raw,0.007610560059547424,0.03875616073608398,5.092419011589627,3582.256205415353,703.4488319328484
topk,8192,256,36,pre-softmax,0,float32,forward,0.0703881597518921,0.16417984008789063,2.3324922922633635,387.3233239240517,166.05556434581294
topk,8192,256,36,pre-softmax,0,float32,backward_raw,0.007622720003128052,0.03884255886077881,5.095629754843339,3576.541705429609,701.8841394491324
topk,8192,256,36,pre-softmax,4,float32,forward,0.43730655670166013,0.3629609680175781,0.8299920558136014,62.34293902572192,75.1126936565798
topk,8192,256,36,pre-softmax,4,float32,backward_raw,0.007620800137519836,0.03887903928756714,5.101700423312793,3577.442723602596,701.2255575131518
topk,8192,512,4,pre-softmax,0,float32,forward,0.029852800369262696,0.23835744857788085,7.984425100142382,1826.4937066387074,228.75707189064076
topk,8192,512,4,pre-softmax,0,float32,backward_raw,0.01170367956161499,0.05500256061553955,4.699595569579124,4658.872597540253,991.3347922313839
topk,8192,512,4,pre-softmax,4,float32,forward,0.04175807952880859,0.4473875045776367,10.713795021846908,1305.7581338812038,121.87634085014531
topk,8192,512,4,pre-softmax,4,float32,backward_raw,0.011735039949417114,0.0545849609375,4.651450798018908,4646.422358596941,998.9189524644421
topk,8192,512,8,pre-softmax,0,float32,forward,0.0714188814163208,0.23791296005249024,3.3312333564233314,763.4669000506021,229.1844546340395
topk,8192,512,8,pre-softmax,0,float32,backward_raw,0.01168287992477417,0.054093117713928225,4.630118435029096,4667.167029969623,1008.0016516770363
topk,8192,512,8,pre-softmax,4,float32,forward,0.08869855880737304,0.5056668853759766,5.700959431304121,614.7332350507993,107.82978592608158
topk,8192,512,8,pre-softmax,4,float32,backward_raw,0.011720319986343384,0.054196162223815916,4.62411967309474,4652.257964247913,1006.0851130901509
topk,8192,512,22,pre-softmax,0,float32,forward,0.11474847793579102,0.2446531105041504,2.1320815308857446,475.17799783375506,222.870462949111
topk,8192,512,22,pre-softmax,0,float32,backward_raw,0.011705919504165649,0.05423488140106201,4.633115867725049,4657.981116357111,1005.3668523175252
topk,8192,512,36,pre-softmax,0,float32,forward,0.11762559890747071,0.27529312133789063,2.3404184454308106,463.555148763939,198.06507236726654
topk,8192,512,36,pre-softmax,0,float32,backward_raw,0.011727360486984252,0.05407104015350342,4.610674346841712,4649.464989203348,1008.4132253643563
topk,8192,512,36,pre-softmax,4,float32,forward,0.5034080123901368,0.5579913711547851,1.1084276718312278,108.31363557587333,97.71827096027738
topk,8192,512,36,pre-softmax,4,float32,backward_raw,0.01172767996788025,0.054036159515380856,4.607574529947526,4649.338330286602,1009.0641616467899
topk,8192,2304,4,pre-softmax,0,float32,forward,0.14941696166992188,0.5405209732055664,3.6175342288088768,1642.1615140457852,453.9449830130536
topk,8192,2304,4,pre-softmax,0,float32,backward_raw,0.20009536743164064,0.2619196891784668,1.3089742783173002,1226.2491988167874,936.8016004051228
topk,8192,2304,4,pre-softmax,4,float32,forward,0.253085765838623,1.342100830078125,5.302948688682472,969.5005295416537,182.82291352559326
topk,8192,2304,4,pre-softmax,4,float32,backward_raw,0.1997983932495117,0.26174623489379883,1.3100517508512972,1228.0718578831697,937.4224011266307
topk,8192,2304,8,pre-softmax,0,float32,forward,0.3876406478881836,0.538891830444336,1.3901840103202525,632.9748578657235,455.3173199855082
topk,8192,2304,8,pre-softmax,0,float32,backward_raw,0.19967903137207033,0.2616598320007324,1.310402149904116,1228.8059608161748,937.7319480940171
topk,8192,2304,8,pre-softmax,4,float32,forward,0.6662310028076172,1.4478073120117188,2.1731311000394737,368.290852521093,169.4747512077864
topk,8192,2304,8,pre-softmax,4,float32,backward_raw,0.1997091293334961,0.2616339111328125,1.310074867413335,1228.6207687093752,937.8248520523211
topk,8192,2304,22,pre-softmax,0,float32,forward,0.38433185577392576,0.5479193496704101,1.4256412562187166,638.4242688025613,447.8155118040555
topk,8192,2304,22,pre-softmax,0,float32,backward_raw,0.19982112884521486,0.2616774368286133,1.3095583952551557,1227.9321281888344,937.6688604631356
topk,8192,2304,36,pre-softmax,0,float32,forward,0.3679759979248047,0.5850998306274414,1.590048899730155,666.8010560029524,419.35883614404213
topk,8192,2304,36,pre-softmax,0,float32,backward_raw,0.19964767456054688,0.26161344528198244,1.3103756197402805,1228.9989579898058,937.8982174846907
topk,8192,2304,36,pre-softmax,4,float32,forward,1.0113446044921874,1.5617964172363281,1.5442772031403988,242.61441936816647,157.10548525536254
topk,8192,2304,36,pre-softmax,4,float32,backward_raw,0.19965343475341796,0.2618179130554199,1.3113619276261297,1228.9635001924225,937.165762023557
topk,32768,8,4,pre-softmax,0,float32,forward,0.02789088010787964,0.08692416191101074,3.1165800998317446,122.18588968216959,39.205117715012705
topk,32768,8,4,pre-softmax,0,float32,backward_raw,0.01037727952003479,0.039044160842895505,3.762465949530924,328.39743724938955,87.28250079986282
topk,32768,8,4,pre-softmax,4,float32,forward,0.06462463855743408,0.31427263259887694,4.863046658583201,52.73332394689233,10.843680443373668
topk,32768,8,4,pre-softmax,4,float32,backward_raw,0.010379199981689452,0.038547520637512205,3.7139202159623204,328.33667392593117,88.40703484009961
topk,32768,8,8,pre-softmax,0,float32,forward,0.04073887825012207,0.08270463943481446,2.030115776066236,83.65159146201549,41.20533047829791
topk,32768,8,8,pre-softmax,0,float32,backward_raw,0.010363199710845948,0.03850656032562256,3.7157018488529414,328.84360960769476,88.50107543187586
topk,32768,256,4,pre-softmax,0,float32,forward,0.06219264030456543,0.3984147262573242,6.406139445217884,1753.453519033099,273.7145411878341
topk,32768,256,4,pre-softmax,0,float32,backward_raw,0.03015552043914795,0.10367136001586914,3.43788992881326,3616.316429360265,1051.900003851664
topk,32768,256,4,pre-softmax,4,float32,forward,0.09842975616455078,0.7922764587402343,8.049155962712529,1107.9160230539587,137.64375149224915
topk,32768,256,4,pre-softmax,4,float32,backward_raw,0.030145599842071533,0.1035536003112793,3.435114937297043,3617.5065207296343,1053.0962098101172
topk,32768,256,8,pre-softmax,0,float32,forward,0.1353974437713623,0.4162192153930664,3.074055194837439,805.4207004391423,262.0059333325451
topk,32768,256,8,pre-softmax,0,float32,backward_raw,0.030144000053405763,0.10354080200195312,3.4348726717924336,3617.698507390992,1053.2263792774459
topk,32768,256,8,pre-softmax,4,float32,forward,0.18638975143432618,0.9872697448730469,5.296802733389063,585.0745717552184,110.45806332698162
topk,32768,256,8,pre-softmax,4,float32,backward_raw,0.03015392065048218,0.10357983589172363,3.4350370916051123,3616.5082897190746,1052.8294726591046
topk,32768,256,22,pre-softmax,0,float32,forward,0.24478719711303712,0.4502473449707031,1.8393418866706057,445.4967632545028,242.20443544668947
topk,32768,256,22,pre-softmax,0,float32,backward_raw,0.030145280361175537,0.10363136291503906,3.437730937427509,3617.544859209511,1052.3059905079595
topk,32768,256,36,pre-softmax,0,float32,forward,0.2447555160522461,0.5738703918457031,2.344667859184033,445.5544281858862,190.02880362805135
topk,32768,256,36,pre-softmax,0,float32,backward_raw,0.030155839920043944,0.10350687980651856,3.432399166495102,3616.278116913451,1053.571551995834
topk,32768,256,36,pre-softmax,4,float32,forward,1.6029574584960937,1.1939311981201173,0.7448302459881077,68.03168943879102,91.33851613200635
topk,32768,256,36,pre-softmax,4,float32,backward_raw,0.030151998996734618,0.10357376098632813,3.43505453809364,3616.738777810719,1052.8912242010308
topk,32768,512,4,pre-softmax,0,float32,forward,0.10263392448425293,0.8162143707275391,7.952676221133593,2125.0654605287314,267.2138788803626
topk,32768,512,4,pre-softmax,0,float32,backward_raw,0.05582208156585693,0.2304972839355469,4.129141684973074,3907.124239763234,946.2315749498704
topk,32768,512,4,pre-softmax,4,float32,forward,0.14443519592285156,1.4751560974121094,10.213273073690761,1510.0461255752214,147.85134155132673
topk,32768,512,4,pre-softmax,4,float32,backward_raw,0.05587456226348877,0.23046720504760743,4.124725021751199,3903.4544373069734,946.3550701495532
topk,32768,512,8,pre-softmax,0,float32,forward,0.24138111114501953,0.8225981140136719,3.4078810479891386,903.5661778396787,265.14017511639355
topk,32768,512,8,pre-softmax,0,float32,backward_raw,0.055862078666687014,0.23047935485839843,4.125864277869117,3904.3267491237266,946.3051826659195
topk,32768,512,8,pre-softmax,4,float32,forward,0.3043078422546387,1.7048471069335938,5.602376508939956,716.720957251884,127.93159404909349
topk,32768,512,8,pre-softmax,4,float32,backward_raw,0.055861439704895016,0.2305094337463379,4.126449926175799,3904.3714081162148,946.1817004852411
topk,32768,512,22,pre-softmax,0,float32,forward,0.4025040054321289,0.829303970336914,2.060362031544437,541.8674225759404,262.9962182761441
topk,32768,512,22,pre-softmax,0,float32,backward_raw,0.055873599052429196,0.2305289649963379,4.125901479516654,3903.5217293831656,946.1015365399516
topk,32768,512,36,pre-softmax,0,float32,forward,0.4147318267822266,0.9646278381347656,2.325907431843388,525.8911757320354,226.1015071073755
topk,32768,512,36,pre-softmax,0,float32,backward_raw,0.05586527824401855,0.23058048248291016,4.127438182187846,3904.1031362508643,945.8901536306964
topk,32768,512,36,pre-softmax,4,float32,forward,1.8200370788574218,1.92800537109375,1.0593220289248768,119.83481574832565,113.12406659752745
topk,32768,512,36,pre-softmax,4,float32,backward_raw,0.055862078666687014,0.23052448272705078,4.12667212229112,3904.3267491237266,946.1199323381312
topk,32768,2304,4,pre-softmax,0,float32,forward,0.48622913360595704,2.061507263183594,4.239785567547361,2018.5280316736157,476.09200972899623
topk,32768,2304,4,pre-softmax,0,float32,backward_raw,0.7830188751220704,1.0197017669677735,1.3022697145184463,1253.4399452976047,962.5041044290139
topk,32768,2304,4,pre-softmax,4,float32,forward,0.9482994842529296,5.170950317382813,5.452866318340864,1034.9759251142057,189.80401584998262
topk,32768,2304,4,pre-softmax,4,float32,backward_raw,0.7859613037109375,1.0201980590820312,1.2980258115318637,1248.7474018962212,962.03587848728
topk,32768,2304,8,pre-softmax,0,float32,forward,1.3019209289550782,2.0670745849609373,1.5877113110240662,753.860786912555,474.8097350432797
topk,32768,2304,8,pre-softmax,0,float32,backward_raw,0.7859804534912109,1.020202865600586,1.2980003014947676,1248.7169771722256,962.0313460129496
topk,32768,2304,8,pre-softmax,4,float32,forward,2.520224304199219,5.5842041015625,2.2157567849250768,389.43642213301064,175.7577477738284
topk,32768,2304,8,pre-softmax,4,float32,backward_raw,0.7859811401367187,1.0202614593505859,1.298073716085751,1248.7158862734,961.9760964260287
topk,32768,2304,22,pre-softmax,0,float32,forward,1.61019775390625,2.102483215332031,1.305729815006588,609.5320488548786,466.81330383177556
topk,32768,2304,22,pre-softmax,0,float32,backward_raw,0.7859401702880859,1.020173110961914,1.2980289715793127,1248.7809799061977,962.059404873533
topk,32768,2304,36,pre-softmax,0,float32,forward,1.6003721618652345,2.2624671936035154,1.4137131646720278,613.2743116801655,433.80391935618786
topk,32768,2304,36,pre-softmax,0,float32,backward_raw,0.786337890625,1.0202333068847655,1.2974489962245872,1248.149361364116,962.0026413339355
topk,32768,2304,36,pre-softmax,4,float32,forward,3.883768310546875,6.082283325195313,1.566077798378983,252.7100119064,161.36491569446633
topk,32768,2304,36,pre-softmax,4,float32,backward_raw,0.7863929748535157,1.020294418334961,1.297435825294618,1248.0619326270325,961.9450213220571
topk,131072,8,4,pre-softmax,0,float32,forward,0.10377887725830078,0.2816012763977051,2.7134739152825165,131.35127648444166,48.40705331444687
topk,131072,8,4,pre-softmax,0,float32,backward_raw,0.03581279993057251,0.03875648021697998,1.0821963178560223,380.6317301754207,351.72151660015237
topk,131072,8,4,pre-softmax,4,float32,forward,0.24386240005493165,1.0410105895996093,4.268844189859178,55.89827704857089,13.09447582588272
topk,131072,8,4,pre-softmax,4,float32,backward_raw,0.03580159902572632,0.038729920387268066,1.081793032747993,380.75081479474375,351.9627167754562
topk,131072,8,8,pre-softmax,0,float32,forward,0.1519654369354248,0.26716224670410155,1.7580461195108972,89.70123914290112,51.023257096268175
topk,131072,8,8,pre-softmax,0,float32,backward_raw,0.035807359218597415,0.03869280099868774,1.080582367509294,380.6895648679994,352.30036720428456
topk,131072,256,4,pre-softmax,0,float32,forward,0.23171232223510743,1.5975975036621093,6.894745554537679,1882.5395723124338,273.03974561809133
topk,131072,256,4,pre-softmax,0,float32,backward_raw,0.10987327575683593,0.47748607635498047,4.345789028914731,3970.0974872669217,913.5504417844164
topk,131072,256,4,pre-softmax,4,float32,forward,0.3705820846557617,3.0780657958984374,8.306029685049916,1177.087706237064,141.7148446213373
topk,131072,256,4,pre-softmax,4,float32,backward_raw,0.10988191604614257,0.47737728118896483,4.344457198839711,3969.7853085927613,913.758641621095
topk,131072,256,8,pre-softmax,0,float32,forward,0.5093379211425781,1.6698428344726564,3.2784577098181935,856.420851252293,261.2267496047053
topk,131072,256,8,pre-softmax,0,float32,backward_raw,0.10987648010253906,0.4771820831298828,4.34289561045791,3969.981706666629,914.1324274768923
topk,131072,256,8,pre-softmax,4,float32,forward,0.7047280120849609,3.8780291748046873,5.5028736027271155,618.9730059253151,112.48177781487915
topk,131072,256,8,pre-softmax,4,float32,backward_raw,0.10983839988708496,0.47724609375,4.344984033276286,3971.358071935006,914.0098194884387
topk,131072,256,22,pre-softmax,0,float32,forward,0.9285501098632812,1.835497589111328,1.9767350944383442,469.7728333306931,237.65087929709222
