kernel,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,fused_gbps,ref_gbps
topk,128,8,8,pre-softmax,0,float32,forward,0.01809823989868164,0.05573247909545898,3.0794419461485196,0.7355411396093665,0.23885533563291006
topk,128,8,8,pre-softmax,0,float32,backward_raw,0.00483487993478775,0.03734080076217652,7.72321159280572,2.7533258694219036,0.35650012126906705
topk,128,256,8,pre-softmax,0,float32,forward,0.018376959562301634,0.05665311813354492,3.0828341294151143,23.18033070464282,7.519162475679698
topk,128,256,8,pre-softmax,0,float32,backward_raw,0.004703679978847504,0.037408320903778075,7.952990227227122,90.56398435175318,11.387413006205726
topk,128,256,22,pre-softmax,0,float32,forward,0.09030624389648438,0.056766719818115235,0.6286023797334036,4.717104616689561,7.504115111193394
topk,128,256,22,pre-softmax,0,float32,backward_raw,0.004652160108089447,0.03877856016159058,8.335603087726959,91.56692592313712,10.985039109882397
topk,128,256,36,pre-softmax,0,float32,forward,0.22351232528686524,0.0558355188369751,0.24980957432800815,1.9058635780074946,7.629265544102138
topk,128,256,36,pre-softmax,0,float32,backward_raw,0.004690560102462768,0.03822655916213989,8.149678999330831,90.81729914863217,11.143665800344918
topk,128,512,8,pre-softmax,0,float32,forward,0.02994271993637085,0.05852223873138428,1.9544730357077025,28.453260151731598,14.558021334599202
topk,128,512,8,pre-softmax,0,float32,backward_raw,0.0061955201625823976,0.03895359992980957,6.287381673788799,137.51355457535715,21.871354676722042
topk,128,512,22,pre-softmax,0,float32,forward,0.17091264724731445,0.058320960998535155,0.3412325649262422,4.984815423092611,14.608264085727237
topk,128,512,22,pre-softmax,0,float32,backward_raw,0.006187199950218201,0.03939872026443481,6.367778733746168,137.6984753773723,21.624255668249983
topk,128,512,36,pre-softmax,0,float32,forward,0.4346633529663086,0.05649312019348145,0.12996982563160855,1.960064022388465,15.080915996180112
topk,128,512,36,pre-softmax,0,float32,backward_raw,0.006216959953308105,0.041910400390625,6.741301328203677,137.03932571524118,20.328319273002652
topk,128,2304,8,pre-softmax,0,float32,forward,0.11276960372924805,0.06357696056365966,0.5637774582972155,33.99724636086175,60.30259965260775
topk,128,2304,8,pre-softmax,0,float32,backward_raw,0.01541152000427246,0.040344958305358884,2.617844203178807,248.7655986519927,95.02689210836938
topk,128,2304,22,pre-softmax,0,float32,forward,0.7255161285400391,0.06554143905639648,0.09033767338609817,5.284315329715541,58.495145288175316
topk,128,2304,22,pre-softmax,0,float32,backward_raw,0.015392320156097412,0.04105599880218506,2.6673041091807987,249.0759002619421,93.3811406823199
topk,128,2304,36,pre-softmax,0,float32,forward,1.8876039123535155,0.06613376140594482,0.035035825563365916,2.0310701704468523,57.97123766281607
topk,128,2304,36,pre-softmax,0,float32,backward_raw,0.015453439950942994,0.042623682022094725,2.7582002555679366,248.09078186931782,89.94661695375483
topk,8192,8,8,pre-softmax,0,float32,forward,0.019120320081710815,0.06410240173339844,3.352579949470323,44.558249880708544,13.290734464885269
topk,8192,8,8,pre-softmax,0,float32,backward_raw,0.0058694398403167725,0.04130368232727051,7.0370739714475645,145.15320425432955,20.626926026822872
topk,8192,256,8,pre-softmax,0,float32,forward,0.04112927913665772,0.1474892807006836,3.5859923586462594,662.8605356640217,184.8471690314077
topk,8192,256,8,pre-softmax,0,float32,backward_raw,0.010314879417419433,0.04120384216308594,3.994602408390953,2643.0726813887104,661.6610143319256
topk,8192,256,22,pre-softmax,0,float32,forward,0.20720191955566405,0.15575967788696288,0.7517289329219684,131.57685053528618,175.03230855282808
topk,8192,256,22,pre-softmax,0,float32,backward_raw,0.010298880338668824,0.04305408000946045,4.180462204984254,2647.1786352965687,633.2263050101035
topk,8192,256,36,pre-softmax,0,float32,forward,0.5126911926269532,0.18628992080688478,0.36335697489235774,53.1762128783773,146.34702662342016
topk,8192,256,36,pre-softmax,0,float32,backward_raw,0.010316159725189209,0.04154496192932129,4.027173195843409,2642.744657532914,656.228209966382
topk,8192,512,8,pre-softmax,0,float32,forward,0.07180704116821289,0.29023103713989257,4.041818635306343,759.3399075206181,187.87085122711483
topk,8192,512,8,pre-softmax,0,float32,backward_raw,0.01441248059272766,0.06683584213256837,4.637358690792813,3783.245475974,815.8190315287447
topk,8192,512,22,pre-softmax,0,float32,forward,0.39557662963867185,0.2944495964050293,0.7443553899379391,137.8391641837011,185.1792383678359
topk,8192,512,22,pre-softmax,0,float32,backward_raw,0.014399679899215699,0.06763199806213378,4.696770937652404,3786.60861780475,806.2153058069761
topk,8192,512,36,pre-softmax,0,float32,forward,0.997442855834961,0.32643009185791017,0.3272669606567637,54.665740178525056,167.0371493316072
topk,8192,512,36,pre-softmax,0,float32,backward_raw,0.014397120475769043,0.06762656211853027,4.697228326480188,3787.281775669618,806.2801108302888
topk,8192,2304,8,pre-softmax,0,float32,forward,0.3872313690185547,0.5866364669799805,1.5149507863136755,633.6438719360128,418.2603670432465
topk,8192,2304,8,pre-softmax,0,float32,backward_raw,0.2879644775390625,0.27623552322387696,0.95926944039966,852.0730962961078,888.2521014545287
topk,8192,2304,22,pre-softmax,0,float32,forward,2.3170057678222657,0.5985139083862304,0.2583135168233822,105.8982189028464,409.96003695483205
topk,8192,2304,22,pre-softmax,0,float32,backward_raw,0.2880620765686035,0.2759932708740234,0.9581034552054066,851.7844032883814,889.03176234321
topk,8192,2304,36,pre-softmax,0,float32,forward,6.020655517578125,0.6344425582885742,0.10537765471487824,40.754164273909744,386.74389161704954
topk,8192,2304,36,pre-softmax,0,float32,backward_raw,0.28825056076049804,0.2762224006652832,0.958271858817965,851.2274298882306,888.2942998432883
topk,32768,8,8,pre-softmax,0,float32,forward,0.037031359672546386,0.10404031753540038,2.809519241404788,92.02665065864336,32.755301797694436
topk,32768,8,8,pre-softmax,0,float32,backward_raw,0.012349439859390259,0.041158080101013184,3.3327892252309264,275.95356864778967,82.79958617205054
topk,32768,256,8,pre-softmax,0,float32,forward,0.1332032012939453,0.44491168975830075,3.3400975760071616,818.6883118473287,245.10910032335337
topk,32768,256,8,pre-softmax,0,float32,backward_raw,0.030755200386047364,0.11495648384094238,3.737790110224559,3545.80372200967,948.6363914095341
topk,32768,256,22,pre-softmax,0,float32,forward,0.686627197265625,0.48020320892333984,0.6993652608514004,158.82258150315118,227.09532542380234
topk,32768,256,22,pre-softmax,0,float32,backward_raw,0.030774080753326417,0.11524928092956543,3.7450113247365793,3543.628317418138,946.2263288796312
topk,32768,256,36,pre-softmax,0,float32,forward,1.6992031860351562,0.6050604629516602,0.35608482135881636,64.17826007874713,180.23306872178233
topk,32768,256,36,pre-softmax,0,float32,backward_raw,0.030759360790252686,0.11532511711120605,3.7492689753082042,3545.3241289252464,945.6041036996572
topk,32768,512,8,pre-softmax,0,float32,forward,0.23766624450683593,0.8751631927490234,3.6823201147685545,917.689461760005,249.2150147618778
topk,32768,512,8,pre-softmax,0,float32,backward_raw,0.06095712184906006,0.24420543670654296,4.006183843640717,3577.9873029448663,893.1161031524913
topk,32768,512,22,pre-softmax,0,float32,forward,1.3193939208984375,0.8831929779052734,0.6693929416499552,165.3060579902345,246.94920980609592
topk,32768,512,22,pre-softmax,0,float32,backward_raw,0.06119008064270019,0.2441289520263672,3.9896818154543667,3564.365428337104,893.3959130600931
topk,32768,512,36,pre-softmax,0,float32,forward,3.319649353027344,1.0213148498535156,0.3076574484959174,65.70085717068308,213.55197961851042
topk,32768,512,36,pre-softmax,0,float32,backward_raw,0.0611356782913208,0.24409759521484375,3.99271917867144,3567.5372236928847,893.5106788251429
topk,32768,2304,8,pre-softmax,0,float32,forward,1.2868687438964843,2.1246876525878906,1.651052341324719,762.6785098752457,461.9347859458605
topk,32768,2304,8,pre-softmax,0,float32,backward_raw,1.1258380889892579,1.0330210876464845,0.9175574158926337,871.7657943880104,950.0939987934428
topk,32768,2304,22,pre-softmax,0,float32,forward,7.8191552734375,2.1584185791015624,0.27604242448464217,125.5208653208548,454.71584867868114
topk,32768,2304,22,pre-softmax,0,float32,backward_raw,1.1292246246337891,1.0337059020996093,0.915412115135944,869.1513757223393,949.4645759557872
topk,32768,2304,36,pre-softmax,0,float32,forward,23.63852783203125,2.3178842163085935,0.09805535407191297,41.5198079581787,423.43233932670756
topk,32768,2304,36,pre-softmax,0,float32,backward_raw,1.129529266357422,1.0339254760742187,0.9153596164962485,868.9169596863105,949.2629388789206
topk,131072,8,8,pre-softmax,0,float32,forward,0.13335071563720702,0.29306175231933596,2.1976766372715812,102.22283348734122,46.51404658614882
topk,131072,8,8,pre-softmax,0,float32,backward_raw,0.03898655891418457,0.04107840061187744,1.053655458597855,349.6458364023613,331.84076782333585
topk,131072,256,8,pre-softmax,0,float32,forward,0.4938358306884766,1.7372312927246094,3.517831604690702,883.3049140882815,251.09357506211398
topk,131072,256,8,pre-softmax,0,float32,backward_raw,0.10658016204833984,0.49088382720947266,4.605771071982706,4092.7655542703756,888.616800597627
topk,131072,256,22,pre-softmax,0,float32,forward,2.605775146484375,1.9085693359375,0.7324382299495328,167.40032868473585,228.55214520447714
topk,131072,256,22,pre-softmax,0,float32,backward_raw,0.10661760330200196,0.49098270416259765,4.605081046249503,4091.328284358549,888.4378457770318
