kernel,output_mode,index_dtype,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,fused_gbps,ref_gbps
topk,sparse,-,4096,256,8,softmax,0,float32,forward,0.022169280052185058,0.08482624053955078,3.826296584276768,614.8818530828405,160.69895250920888
topk,sparse,-,4096,256,8,softmax,0,float32,backward_raw,0.005500159859657287,0.0512499189376831,9.317896251269406,2478.38032854001,265.98067436116514
topk,sparse,-,4096,384,6,softmax,0,float32,forward,0.020680959224700927,0.12935680389404297,6.254874471177419,988.6984340445018,158.06846941540442
topk,sparse,-,4096,384,6,softmax,0,float32,backward_raw,0.006935039758682251,0.05169760227203369,7.454550236328697,2948.394344012419,395.51606073346125
topk,sparse,-,4096,512,10,softmax,0,float32,forward,0.0535920000076294,0.15027071952819823,2.803976703739468,508.7135392618081,181.4257367343218
topk,sparse,-,4096,512,10,softmax,0,float32,backward_raw,0.008550080060958863,0.05164383888244629,6.040158514802797,3188.622305946285,527.9037459251828
topk,sparse,-,4096,512,22,softmax,0,float32,forward,0.05894271850585937,0.15047648429870605,2.5529274541985623,462.5334000719672,181.17765129255105
topk,sparse,-,4096,512,22,softmax,0,float32,backward_raw,0.008584960103034974,0.05170623779296875,6.02288620708784,3175.6671752454545,527.2666734942248
topk,sparse,-,4096,896,16,softmax,0,float32,forward,0.1020364761352539,0.17359136581420898,1.7012677464880879,467.5799263859131,274.84205666693805
topk,sparse,-,4096,896,16,softmax,0,float32,backward_raw,0.019809600114822388,0.06932928085327149,3.499781946703526,2408.438722814056,688.1682229038823
topk,sparse,-,4096,2304,16,softmax,0,float32,forward,0.21077375411987304,0.2539017677307129,1.2046175710582623,582.0619958698769,483.1923507130422
topk,sparse,-,4096,2304,16,softmax,0,float32,backward_raw,0.2279043197631836,0.17271839141845702,0.7578548383722146,538.3109549107313,710.3087922047995
topk,sparse,-,4096,2304,36,softmax,0,float32,forward,0.19573535919189453,0.27581727981567383,1.4091336432742783,626.7819596137658,444.7995139462914
topk,sparse,-,4096,2304,36,softmax,0,float32,backward_raw,0.2279270362854004,0.17311071395874023,0.7595005699191317,538.2573037381188,708.699012293605
topk,sparse,-,16384,256,8,softmax,0,float32,forward,0.07116767883300781,0.2502457618713379,3.5162838801941234,766.1617309164042,217.8896121646773
topk,sparse,-,16384,256,8,softmax,0,float32,backward_raw,0.015714240074157716,0.07966335773468018,5.069501125013844,3469.8433868061284,684.4546043564893
topk,sparse,-,16384,384,6,softmax,0,float32,forward,0.06627488136291504,0.42418590545654294,6.400402335445018,1234.0863735708779,192.8138746429403
topk,sparse,-,16384,384,6,softmax,0,float32,backward_raw,0.023307199478149413,0.11442975997924805,4.909631467586931,3509.1701204461488,714.7522463984238
topk,sparse,-,16384,512,10,softmax,0,float32,forward,0.17879968643188476,0.4017718505859375,2.247050084950769,609.9110472519997,271.42743783806776
topk,sparse,-,16384,512,10,softmax,0,float32,backward_raw,0.04295872211456299,0.15082752227783203,3.510987172188289,2538.527652409648,723.0239040797925
topk,sparse,-,16384,512,22,softmax,0,float32,forward,0.21075103759765626,0.4061103820800781,1.9269674147720277,517.4442092578944,268.5277422395392
topk,sparse,-,16384,512,22,softmax,0,float32,backward_raw,0.04321119785308838,0.1510159969329834,3.494834775152849,2523.695463633297,722.1215382128962
topk,sparse,-,16384,896,16,softmax,0,float32,forward,0.35374462127685546,0.5147900772094727,1.4552590944035195,539.4875865847863,370.71583243113906
topk,sparse,-,16384,896,16,softmax,0,float32,backward_raw,0.10443327903747558,0.27873504638671875,2.669025132177411,1827.3948090006568,684.6675166036574
topk,sparse,-,16384,2304,16,softmax,0,float32,forward,0.8338607788085938,0.9482070159912109,1.1371286911299427,588.5077946718537,517.5384274994108
topk,sparse,-,16384,2304,16,softmax,0,float32,backward_raw,0.8941744232177734,0.7313996887207032,0.8179608695232977,548.8119043195708,670.9512945764933
topk,sparse,-,16384,2304,36,softmax,0,float32,forward,0.8299465942382812,1.0297030639648437,1.2406859322194068,591.2833083559932,476.5777486476963
topk,sparse,-,16384,2304,36,softmax,0,float32,backward_raw,0.8946630096435547,0.7318803405761719,0.8180514145407246,548.5121914177658,670.5106569930142
topk,sparse,-,65536,256,8,softmax,0,float32,forward,0.25972671508789064,0.9580086517333984,3.688525654394896,839.7434508275146,227.6637143154898
topk,sparse,-,65536,256,8,softmax,0,float32,backward_raw,0.06974207878112793,0.32734081268310544,4.693591278091975,3127.2914689634754,666.2896881457417
topk,sparse,-,65536,384,6,softmax,0,float32,forward,0.238143367767334,1.6777398681640625,7.04508332057861,1373.776288910263,194.99787673163178
topk,sparse,-,65536,384,6,softmax,0,float32,backward_raw,0.10037599563598633,0.5027145767211914,5.008314722419157,3259.302285642382,650.7782490290562
topk,sparse,-,65536,512,10,softmax,0,float32,forward,0.6495779418945312,1.9363113403320313,2.9808760665189284,671.5246745106145,225.27762292875934
topk,sparse,-,65536,512,10,softmax,0,float32,backward_raw,0.1500384044647217,0.6576102447509765,4.382946133672059,2907.30641635532,663.322415491235
topk,sparse,-,65536,512,22,softmax,0,float32,forward,0.78723388671875,1.9611631774902343,2.491207772653829,554.1016759557266,222.4229074901505
topk,sparse,-,65536,512,22,softmax,0,float32,backward_raw,0.1493443202972412,0.6583411407470703,4.408210097556898,2920.818248272264,662.5859892410821
topk,sparse,-,65536,896,16,softmax,0,float32,forward,1.3374172973632812,2.4111363220214845,1.802830221184548,570.774229931803,316.59899153275586
topk,sparse,-,65536,896,16,softmax,0,float32,backward_raw,0.4085033416748047,1.1232572937011718,2.749689363851907,1868.683190865271,679.5979267445408
topk,sparse,-,65536,2304,16,softmax,0,float32,forward,3.400448913574219,3.827374267578125,1.1255497038345927,577.2573921531895,512.8670819125562
topk,sparse,-,65536,2304,16,softmax,0,float32,backward_raw,3.5500323486328127,2.814394226074219,0.7927798818954699,552.9341930520618,697.4624428284466
topk,sparse,-,65536,2304,36,softmax,0,float32,forward,3.586785888671875,4.217278137207031,1.1757819585848255,547.2683156804882,465.4505128988217
topk,sparse,-,65536,2304,36,softmax,0,float32,backward_raw,3.552568054199219,2.81451904296875,0.7922491561117098,552.5395269148372,697.4315121099696
topk,sparse,-,262144,256,8,softmax,0,float32,forward,1.0083206176757813,3.7222833251953125,3.691567205850974,865.2160996280642,234.3763641243573
topk,sparse,-,262144,256,8,softmax,0,float32,backward_raw,0.26083200454711913,1.294085693359375,4.9613761762337685,3344.7399735886274,674.1556888209298
topk,sparse,-,262144,384,6,softmax,0,float32,forward,0.9191741180419922,6.529783935546875,7.103968451000884,1423.6941862414535,200.40829235958506
topk,sparse,-,262144,384,6,softmax,0,float32,backward_raw,0.3650860977172852,1.9090861511230468,5.229139545602205,3584.4225682166875,685.470819234734
topk,sparse,-,262144,512,10,softmax,0,float32,forward,2.525961608886719,6.726356811523438,2.6628895656446585,690.7589006346809,259.4020080841975
topk,sparse,-,262144,512,10,softmax,0,float32,backward_raw,0.5536380767822265,2.524893798828125,4.560549399894855,3151.572366808739,691.0510314571746
topk,sparse,-,262144,512,22,softmax,0,float32,forward,3.081273498535156,6.864052124023438,2.2276672704602896,566.2692600411797,254.19831208642523
topk,sparse,-,262144,512,22,softmax,0,float32,backward_raw,0.5599385452270508,2.5251394653320314,4.509672511129068,3116.1106497722617,690.9838002831149
topk,sparse,-,262144,896,16,softmax,0,float32,forward,5.2735302734375,8.598876342773437,1.630573050103748,579.015034270323,355.09910717185113
topk,sparse,-,262144,896,16,softmax,0,float32,backward_raw,1.5934291076660156,4.36720703125,2.7407601695232566,1916.278105696565,699.1775956923269
topk,sparse,-,262144,2304,16,softmax,0,float32,forward,13.679991455078126,14.33873779296875,1.0481540021464044,573.9577479842189,547.5891393906537
topk,sparse,-,262144,2304,16,softmax,0,float32,backward_raw,14.160322265625,11.158538818359375,0.788014468106236,554.488587244977,703.6528004080045
topk,sparse,-,262144,2304,36,softmax,0,float32,forward,14.599996337890625,15.747919921875,1.0786249227340714,537.7903464004842,498.588837570438
