kernel,output_mode,index_dtype,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,fused_gbps,ref_gbps
topk,sparse,-,4096,256,8,softmax,0,float32,forward,0.021232640743255614,0.08456864356994628,3.9829545741647263,642.0062471188346,161.18844319319686
topk,sparse,-,4096,256,8,softmax,0,float32,backward_raw,0.005479679703712464,0.051334080696105955,9.368080521444949,2487.6432085555502,265.5446014646181
topk,sparse,-,4096,384,6,softmax,0,float32,forward,0.01970144033432007,0.12853759765625,6.52427413808606,1037.8546772735572,159.0758841991301
topk,sparse,-,4096,384,6,softmax,0,float32,backward_raw,0.006983039975166321,0.0515721607208252,7.385345194103212,2928.1275880871626,396.4780942704087
topk,sparse,-,4096,512,10,softmax,0,float32,forward,0.052329602241516116,0.15022879600524902,2.870818610695722,520.9857295336118,181.47636621575154
topk,sparse,-,4096,512,10,softmax,0,float32,backward_raw,0.00856000006198883,0.05204256057739258,6.079738341181859,3184.927079739497,523.859235547359
topk,sparse,-,4096,512,22,softmax,0,float32,forward,0.20626527786254883,0.15066752433776856,0.7304551008249215,132.17433531477613,180.94792570482196
topk,sparse,-,4096,512,22,softmax,0,float32,backward_raw,0.008566719889640808,0.052626237869262696,6.143102441449063,3182.42878852236,518.0491158750193
topk,sparse,-,4096,896,16,softmax,0,float32,forward,0.1964406394958496,0.17366687774658204,0.8840679718427167,242.87341011740097,274.722552849828
topk,sparse,-,4096,896,16,softmax,0,float32,backward_raw,0.01983839988708496,0.06929664134979248,3.4930559795251144,2404.942347747508,688.4923579365203
topk,sparse,-,4096,2304,16,softmax,0,float32,forward,0.8203126525878907,0.2541414451599121,0.309810465995077,149.5568690949276,482.73665841006203
topk,sparse,-,4096,2304,16,softmax,0,float32,backward_raw,0.22785888671875,0.17276063919067383,0.7581913599179266,538.4182893486623,710.1350896519654
topk,sparse,-,4096,2304,36,softmax,0,float32,forward,3.8838009643554687,0.2756684875488281,0.07097904606308174,31.588485899755618,445.0395948077655
topk,sparse,-,4096,2304,36,softmax,0,float32,backward_raw,0.2279689598083496,0.17306528091430665,0.759161602789258,538.1583181461997,708.8850597408195
topk,sparse,-,16384,256,8,softmax,0,float32,forward,0.06733056068420411,0.2503424072265625,3.7181096471292765,809.8247132641493,217.80549529770016
