model,format,ab_dtype,sf_dtype,sf_vec_size,direction,activation,ep,total_experts,local_experts,hidden_size,expert_intermediate_size,local_tokens,expert_tokens,min_expert_tokens,max_expert_tokens,padded_expert_tokens,padded_tokens,padding_ratio,median_tflops,mean_tflops,min_tflops,p25_tflops,p75_tflops,situ_throughput_retention,samples,seed,jitter,dynamic_sched,vector_f32,mma_tiler_m
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,forward,swiglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,5491.158910038477,5625.09686552258,5243.6513414117,5417.16243560747,5859.030612269633,0.9156533880633907,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,forward,situglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,5027.998260371207,5094.081287627619,4573.57162968432,4703.581912366848,5675.643683730778,0.9156533880633907,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,backward,dswiglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,3064.7802091600383,3034.71832636075,2751.041038688985,2962.4837296313453,3077.8104734738263,0.9287623144498582,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,backward,dsituglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,2846.452360339598,2815.5386849857628,2584.385631227775,2739.8156479121744,2859.0115810400366,0.9287623144498582,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,forward,swiglu,64,896,14,3584,3072,131072,"[10062, 9089, 9959, 9049, 8531, 10191, 9644, 9115, 9812, 9832, 8788, 8663, 8642, 9695]",8531,10191,"[10240, 9216, 9984, 9216, 8704, 10240, 9728, 9216, 9984, 9984, 8960, 8704, 8704, 9728]",132608,1.01171875,5617.45186909688,5732.862778534032,5293.611536441926,5507.017377516609,6244.3137282227235,0.8837041446203185,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,forward,situglu,64,896,14,3584,3072,131072,"[10062, 9089, 9959, 9049, 8531, 10191, 9644, 9115, 9812, 9832, 8788, 8663, 8642, 9695]",8531,10191,"[10240, 9216, 9984, 9216, 8704, 10240, 9728, 9216, 9984, 9984, 8960, 8704, 8704, 9728]",132608,1.01171875,4964.165498926068,5007.147782168924,4601.794078361591,4835.273234655805,5014.495494290746,0.8837041446203185,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,backward,dswiglu,64,896,14,3584,3072,131072,"[10062, 9089, 9959, 9049, 8531, 10191, 9644, 9115, 9812, 9832, 8788, 8663, 8642, 9695]",8531,10191,"[10240, 9216, 9984, 9216, 8704, 10240, 9728, 9216, 9984, 9984, 8960, 8704, 8704, 9728]",132608,1.01171875,3118.102826449412,3101.2997390877217,2928.756871723206,3071.3994161623964,3142.9110067314314,0.9283259699615366,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,backward,dsituglu,64,896,14,3584,3072,131072,"[10062, 9089, 9959, 9049, 8531, 10191, 9644, 9115, 9812, 9832, 8788, 8663, 8642, 9695]",8531,10191,"[10240, 9216, 9984, 9216, 8704, 10240, 9728, 9216, 9984, 9984, 8960, 8704, 8704, 9728]",132608,1.01171875,2894.615830803459,2897.93521243894,2758.66974918182,2866.382128678688,2937.619630656002,0.9283259699615366,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,forward,swiglu,64,896,14,3584,3072,262144,"[18119, 18397, 18763, 18477, 20132, 17311, 19214, 19412, 20397, 17036, 19138, 19076, 18579, 18093]",17036,20397,"[18176, 18432, 18944, 18688, 20224, 17408, 19456, 19456, 20480, 17152, 19200, 19200, 18688, 18176]",263680,1.005859375,5424.873710691541,5552.198163624888,5026.0546376633065,5313.116699147878,5783.771546010825,0.9020292770562385,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,forward,situglu,64,896,14,3584,3072,262144,"[18119, 18397, 18763, 18477, 20132, 17311, 19214, 19412, 20397, 17036, 19138, 19076, 18579, 18093]",17036,20397,"[18176, 18432, 18944, 18688, 20224, 17408, 19456, 19456, 20480, 17152, 19200, 19200, 18688, 18176]",263680,1.005859375,4893.394911376485,4881.339804918787,4584.448269543894,4763.851732709053,5043.0272858036315,0.9020292770562385,120,1234,0.1,True,False,256
