rank,sync_type,n,min,p5,p25,median,p75,p95,max
0,bwd_pre_dispatch,288,28,37,52,67,78,134,730
0,bwd_pre_combine,300,10,26,43,58,71,99,175
0,bwd_post_dispatch,288,31,32,34,36,37,41,67
0,bwd_post_combine,300,2,4,15,22,30,85,294
0,fwd_pre_dispatch,288,39,49,57,64,70,102,156
0,fwd_pre_combine,276,5,22,34,41,47,99,133
1,bwd_pre_dispatch,288,10,35,46,62,87,132,934
1,bwd_pre_combine,299,8,30,43,54,67,101,178
1,bwd_post_dispatch,288,24,27,30,31,34,38,59
1,bwd_post_combine,300,4,11,23,30,37,104,290
1,fwd_pre_dispatch,288,55,66,74,79,85,109,175
1,fwd_pre_combine,275,8,24,32,39,46,99,134
2,bwd_pre_dispatch,288,17,30,42,71,90,118,886
2,bwd_pre_combine,300,24,65,98,107,118,146,230
2,bwd_post_dispatch,288,28,31,33,35,36,41,75
2,bwd_post_combine,300,17,26,36,42,49,113,294
2,fwd_pre_dispatch,288,34,42,48,55,61,86,191
2,fwd_pre_combine,276,9,30,41,47,57,97,134
3,bwd_pre_dispatch,288,18,26,41,53,73,111,629
3,bwd_pre_combine,300,25,53,75,90,105,134,205
3,bwd_post_dispatch,288,19,26,28,29,31,34,58
3,bwd_post_combine,300,15,24,34,41,47,107,295
3,fwd_pre_dispatch,288,37,51,61,69,75,92,166
3,fwd_pre_combine,276,7,18,31,39,46,92,137
4,bwd_pre_dispatch,288,39,54,88,105,115,155,943
4,bwd_pre_combine,300,35,47,63,73,85,109,196
4,bwd_post_dispatch,288,14,26,28,30,32,34,66
4,bwd_post_combine,300,9,23,35,42,48,110,309
4,fwd_pre_dispatch,288,45,57,66,72,79,105,165
4,fwd_pre_combine,276,11,26,38,44,52,100,138
5,bwd_pre_dispatch,288,27,46,55,62,75,128,965
5,bwd_pre_combine,300,15,41,56,67,76,104,189
5,bwd_post_dispatch,288,27,33,36,37,38,41,55
5,bwd_post_combine,300,14,25,35,42,48,111,294
5,fwd_pre_dispatch,288,37,46,58,68,75,93,170
5,fwd_pre_combine,276,13,23,37,44,51,98,132
6,bwd_pre_dispatch,288,33,55,82,97,107,153,955
6,bwd_pre_combine,300,16,68,96,107,117,141,227
6,bwd_post_dispatch,288,22,30,34,35,37,41,67
6,bwd_post_combine,300,16,26,37,42,49,112,303
6,fwd_pre_dispatch,288,37,47,52,59,64,87,157
6,fwd_pre_combine,276,14,27,38,43,50,89,133
7,bwd_pre_dispatch,288,20,33,41,49,60,98,803
7,bwd_pre_combine,300,14,53,67,80,92,120,200
7,bwd_post_dispatch,288,9,26,29,31,31,34,45
7,bwd_post_combine,300,4,20,31,36,43,109,298
7,fwd_pre_dispatch,287,6,12,23,31,38,69,126
7,fwd_pre_combine,269,6,11,26,33,41,88,130
8,bwd_pre_dispatch,254,6,8,13,21,34,87,395
8,bwd_pre_combine,291,6,11,21,34,53,80,188
8,bwd_post_dispatch,288,23,30,34,36,37,39,61
8,bwd_post_combine,300,9,18,28,37,46,121,297
8,fwd_pre_dispatch,288,32,53,63,68,75,103,167
8,fwd_pre_combine,276,7,16,29,36,45,104,134
9,bwd_pre_dispatch,282,9,23,60,75,89,113,729
9,bwd_pre_combine,298,9,33,59,68,77,96,176
9,bwd_post_dispatch,288,25,30,32,34,35,39,72
9,bwd_post_combine,300,4,20,31,38,44,59,303
9,fwd_pre_dispatch,288,32,40,52,60,68,90,165
9,fwd_pre_combine,276,10,20,32,38,45,96,127
10,bwd_pre_dispatch,288,18,39,61,73,86,125,829
10,bwd_pre_combine,300,16,59,82,94,106,131,227
10,bwd_post_dispatch,288,21,32,35,36,38,41,56
10,bwd_post_combine,300,4,19,28,37,42,97,289
10,fwd_pre_dispatch,288,25,40,51,59,68,95,152
10,fwd_pre_combine,276,6,14,26,33,40,90,134
11,bwd_pre_dispatch,288,18,28,38,49,69,121,673
11,bwd_pre_combine,300,21,53,76,93,105,132,256
