occurrence,seg_a_spread_us,seg_b_spread_us
0,9517,10667
1,9624,18972
2,9522,9542
3,19484,9836
4,9753,9792
5,9564,152
6,9501,9538
7,19163,150
8,9749,9714
9,9913,38233
10,9537,28411
11,9552,18974
12,9522,9566
13,18913,9558
14,9490,9546
15,9516,19011
16,9513,9583
17,18961,157
18,9538,37817
19,28419,28412
20,18995,18996
21,9576,9552
22,146,9578
23,19011,18206
24,9543,8512
25,126,9563
26,28466,28474
27,19019,19016
28,9571,9585
29,9553,155
30,133,28395
31,19009,18967
32,9592,9558
33,123,47302
34,18977,37870
35,9561,28448
36,136,19035
37,9580,9563
38,148,142
39,18989,19022
40,9544,9543
41,120,9572
42,9524,161
43,28427,9581
44,18999,9547
45,9573,8740
46,117,47599
47,9574,38111
48,134,28570
49,9570,19001
50,149,9551
51,28427,116
52,18984,37946
53,9555,28472
54,118,19050
55,9542,9594
56,9539,179
57,126,139
58,19006,37855
59,18958,28439
60,9539,18989
61,37864,9570
62,28433,124
63,18937,9598
64,9540,153
65,109,37171
66,9562,19169
67,124,9730
68,9507,9520
69,9542,133
70,9544,29129
71,18996,19406
72,9557,9569
73,9961,240
74,286,19269
75,10166,9694
76,9838,9879
77,9973,392
78,9978,9715
79,9785,19348
80,9426,9744
81,9844,408
82,9546,9740
83,38413,19099
84,28804,9628
85,19241,127
86,9576,376
87,181,9797
88,9759,280
89,9960,46774
90,19280,28329
91,9610,28894
92,124,19395
93,321,9628
94,9941,216
95,228,28312
96,19024,18859
97,9556,9558
98,28395,152
99,18949,149
100,9607,47309
101,28479,37872
102,18987,28399
103,9553,18989
104,118,9544
105,9568,18962
106,124,37086
107,19000,19006
108,9570,9558
109,28473,160
110,19050,121
111,9586,28398
112,130,18968
113,37909,9527
114,28461,143
115,19042,37901
116,9575,28426
117,125,19008
118,9561,9581
119,37842,8553
120,28413,18860
121,18958,9557
122,9537,137
123,124,9575
124,138,9576
125,9550,151
126,9485,47349
127,9520,37901
128,9529,28488
129,28432,19034
130,18986,9589
131,9546,9557
132,135,47354
133,136,37903
134,28428,28486
135,19004,19044
136,9537,9570
137,28491,9545
138,19006,136
139,9567,18192
140,142,133
141,104,157
142,9544,276
143,119,8573
144,37888,8429
145,28423,396
146,18961,9534
147,9514,248
148,131,123
149,28440,159
150,18967,9530
151,18950,108
152,9520,273
153,126,9551
154,19019,135
155,9526,394
156,9568,158
157,28430,255
158,19012,114
159,9566,177
160,126,363
161,119,9595
162,19008,272
163,9560,18216
164,19068,123
165,9593,37862
166,113,28422
167,278,18978
168,151,9430
169,313,19263
170,289,19000
171,252,9463
172,308,9847
173,19331,19634
174,9888,9694
175,283,28433
176,9914,18855
177,286,9552
178,9609,390
179,253,9843
180,9668,9612
181,9758,169
182,9572,38521
183,10096,29016
184,299,19444
185,9567,9819
186,9801,27517
187,314,19423
188,9932,9943
189,281,18853
190,272,9798
191,18935,8425
192,9545,8435
193,122,9558
194,9571,129
195,9549,158
196,9563,126
197,131,122
198,9556,9566
199,117,133
200,9544,28450
201,9512,18986
202,128,9560
203,9527,9538
204,9596,139
205,9533,147
206,37877,9520
207,28440,159
208,18981,9590
209,9541,18144
210,118,9538
211,114,9555
212,144,9558
213,117,9558
214,9588,9504
215,127,8578
216,18933,8405
217,9522,9574
218,9518,9527
219,9547,19000
220,9554,9781
221,9752,162
222,9771,28447
223,37834,18992
224,28413,9563
225,19010,134
226,9558,18927
227,132,9575
228,9532,139
229,9560,9564
230,130,131
231,126,142
232,125,27637
233,131,9646
234,28400,123
235,18973,19016
236,9533,19309
237,110,9860
238,119,381
239,18995,9705
240,9561,8463
241,134,19288
242,18980,9854
243,9560,9496
244,133,9730
245,112,9578
246,125,9582
247,18989,144
248,9570,395
249,9523,9755
