rank,bwd_pre_dispatch_med,bwd_pre_dispatch_p95,bwd_post_dispatch_med,bwd_pre_combine_med,bwd_pre_combine_p95,bwd_post_combine_med,fwd_pre_dispatch_med,fwd_pre_combine_med,seg_a_med,seg_a_p95,seg_a_max,seg_b_med,seg_b_p95,seg_b_max
0,2912,4264,34,3873,4735,188,,35197,3948,6788,29732,2483,7593,25885
1,2873,3956,23,3783,4535,186,,33741,3969,9065,49795,2496,16919,48360
2,2906,4256,38,3803,4621,178,,23070,3939,7848,43199,2486,17436,43153
3,2898,4276,39,3860,4634,205,,18601,3917,7575,44994,2486,17257,45080
4,2908,4319,15,3790,4586,202,,26577,3959,7915,29482,2466,17081,26081
5,2931,4274,34,3841,4612,192,,31852,3965,7525,29526,2481,17078,28143
6,2941,4290,45,3873,4605,181,,23533,3928,7174,29475,2464,7847,24201
7,2916,4229,37,3897,4696,204,,37940,3936,7037,29514,2491,7202,25789
8,2915,4243,4,3846,4724,194,,25810,3954,7498,29549,2477,7640,25757
9,2888,4334,39,3796,4612,202,,15341,3959,18051,49452,2477,16991,45406
10,2974,4314,39,3883,4730,181,,37003,3912,6978,29459,2432,7102,17343
11,2913,4271,18,3900,4612,185,,36980,3940,8152,41178,2469,13473,38996
12,2941,4271,16,3856,4727,191,,35165,3953,6899,29528,2486,7067,29258
13,2962,4258,40,3907,4723,198,,36379,3948,6733,29495,2447,7068,34433
14,2967,4314,27,3868,4683,201,,32931,3901,7515,29464,2410,13287,25570
15,2900,4317,48,3766,4587,183,,32755,3947,8032,29508,2469,16509,25964
16,2762,4273,42,3700,4619,197,,19211,3977,16623,46115,2510,22046,43781
17,2868,4266,40,3783,4537,194,,8519,3975,8345,30329,2506,17848,28174
18,2925,4274,43,3868,4628,196,,35557,3927,7189,29458,2454,7761,26561
19,2940,4318,32,3861,4659,188,,36562,3933,7252,29753,2465,7760,26558
20,2836,4329,22,3715,4586,196,,29181,3978,18624,47911,2462,16654,44785
21,2925,4270,38,3834,4683,199,,26372,3966,7810,29553,2469,15673,44899
22,2941,4299,25,3860,4606,179,,37010,3930,7121,29434,2465,7614,28537
23,2919,4245,34,3869,4640,202,,35194,3938,7241,29465,2490,7417,28573
24,2906,4262,39,3829,4570,203,,36571,3990,7317,29547,2505,7564,28401
25,2912,4243,34,3866,4537,169,,35548,3938,7382,29487,2476,7564,29169
26,2911,4275,21,3843,4642,188,,33532,3944,7812,29464,2498,16610,25792
27,2665,4260,39,3525,4599,188,,33416,3976,16942,47286,2528,17071,44952
28,2831,4229,23,3708,4577,186,,13553,3987,18121,45977,2524,24476,43477
29,2866,4247,39,3799,4533,187,,32876,4000,16119,45344,2517,17020,45178
30,2961,4306,21,3896,4651,208,,35132,3904,7090,29465,2422,7446,28076
31,2943,4252,35,3910,4725,201,,34447,3932,6881,29484,2474,7217,28371
32,2922,4276,41,3842,4672,181,,35185,3990,7085,40348,2496,15830,38342
33,2970,4347,53,3860,4627,197,,34441,3937,7304,37442,2426,7842,46770
34,2878,4269,46,3859,4614,196,,28213,3940,8038,29556,2500,16882,25868
35,2912,4303,27,3843,4630,196,,29610,3936,8219,40488,2495,17174,37899
36,2913,4286,21,3829,4669,190,,35526,3982,7031,29543,2515,7167,38369
37,2912,4252,47,3855,4689,180,,35555,3968,7076,29499,2516,7097,28918
38,2895,4285,21,3812,4646,207,,31847,3924,7976,29499,2462,16413,26166
39,2921,4326,41,3843,4616,197,,27295,3935,7590,29515,2474,13530,25096
40,2837,4314,35,3776,4559,192,,19812,3992,16605,47474,2503,25444,46534
41,2639,4435,15,3445,4701,193,,22481,3998,16120,30489,2515,23204,45351
42,2952,4289,39,3935,4738,198,,36999,3912,7058,36345,2477,7286,34653
43,2962,4276,41,3896,4726,199,,36976,3920,7129,38095,2462,13377,35460
44,2871,4265,37,3794,4584,207,,19731,3971,8716,29513,2489,17008,44686
45,2923,4269,33,3815,4673,174,,23849,3970,7383,29533,2477,16669,25718
46,2954,4281,40,3916,4734,186,,33317,3912,6858,29475,2450,7116,29914
47,2924,4292,35,3872,4607,194,,34443,3926,7142,29591,2472,7666,30228
48,2912,4254,12,3840,4671,193,,34420,3987,6954,29557,2487,7334,28379
49,2943,4329,46,3854,4682,197,,35197,3963,7091,29498,2464,7410,17751
50,2876,3711,41,3796,4441,177,,30729,3946,8303,26532,2471,16789,45970
51,2876,4254,45,3825,4598,199,,30305,3948,8075,29611,2500,17016,27298
52,2892,4291,38,3797,4539,189,,30739,3970,8569,43661,2481,17173,43460
53,2920,4244,21,3811,4567,176,,32824,3977,7538,29497,2480,13389,25525
54,2962,4293,47,3898,4760,188,,36799,3917,6906,29432,2438,7162,24447
55,2921,4323,23,3859,4716,204,,34455,3927,7446,29473,2462,7781,28932
56,2848,4263,16,3737,4517,188,,20581,3986,18614,45309,2504,17462,45213
57,2895,4248,40,3812,4560,189,,30734,3971,16428,45361,2483,17472,46737
58,2936,4280,44,3934,4766,188,,35561,3908,6878,29473,2478,7054,28528
59,2927,4263,39,3898,4732,182,,35550,3934,6908,29507,2494,7088,28574
60,2914,4254,41,3824,4655,181,,35177,3986,7160,29563,2510,7271,29514
61,2959,4270,23,3872,4704,200,,33539,3950,7080,29513,2449,7291,28875
62,2945,4346,36,3886,4695,196,,32928,3904,7595,29470,2442,15697,25355
63,2878,4296,39,3784,4598,176,,30711,3957,16520,30456,2475,16424,28908
64,2868,4297,28,3789,4550,201,,27795,3982,7921,29734,2493,17041,25858
65,2881,4357,48,3764,4566,205,,30754,3963,16986,46644,2446,22232,46386
66,2937,4273,12,3909,4652,198,,35803,3908,6930,29492,2456,7287,24430
67,2911,4263,47,3890,4700,187,,34431,3961,6817,29505,2504,7068,28404
68,2860,4266,47,3797,4621,196,,22917,3966,7626,30959,2517,16961,28333
69,2800,4270,41,3648,4530,160,,23339,4020,19219,46386,2516,17009,44515
70,2940,4309,38,3890,4614,180,,34721,3935,7060,29578,2467,7282,28036
71,2913,4317,44,3892,4615,218,,34438,3925,7149,29623,2487,7264,28928
